area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00171531,31,22,19,38,52,52,19,22,29,22,26,21,22,17,5,7,8,2
E00171532,9,7,11,19,30,44,21,24,7,16,19,19,20,11,13,3,1,0
E00171533,15,3,2,205,154,72,51,41,11,23,10,5,14,12,11,14,5,2
E00171534,2,1,1,1,31,40,17,9,4,3,4,1,2,3,6,0,1,0
E00171535,10,4,1,7,44,48,32,19,16,15,5,7,9,2,4,2,2,0
E00171540,7,8,4,4,34,61,31,21,24,16,15,10,3,3,3,2,3,1
E00171541,7,14,14,17,18,63,51,21,26,33,27,14,10,5,4,2,0,0
E00171542,12,4,6,12,50,60,45,41,23,14,28,18,7,4,6,3,0,1
E00171543,7,7,17,9,13,28,28,21,18,24,7,8,2,1,2,1,2,2
E00171545,11,14,16,6,17,40,16,22,25,10,12,8,2,3,0,1,0,0
E00171546,12,8,16,9,43,87,72,40,28,12,17,8,8,3,3,3,1,0
E00171549,14,16,21,7,23,36,25,24,26,20,22,22,22,19,15,13,5,2
E00171550,16,9,12,7,21,40,42,45,24,16,11,4,7,9,3,1,1,2
E00171551,13,4,6,0,18,86,91,40,28,29,15,10,0,4,5,0,3,1
E00171719,17,23,26,30,42,49,43,48,33,25,22,15,10,7,5,1,4,1
E00171721,19,30,29,29,19,30,35,61,36,25,14,11,7,3,0,0,1,0
E00171722,15,12,15,11,16,20,45,25,21,13,14,9,6,6,1,0,3,1
E00171724,28,19,19,7,19,20,35,34,20,23,23,19,11,9,8,5,8,3
E00171725,11,7,12,14,21,50,40,46,21,17,8,15,15,6,6,3,0,0
E00171727,6,2,5,6,5,11,14,5,11,4,10,6,4,3,2,2,0,6
E00171730,21,14,18,12,10,31,64,36,27,22,14,9,6,4,1,0,2,0
E00171732,7,11,8,15,5,13,8,4,5,12,7,12,3,6,1,4,0,0
E00173700,13,7,6,7,10,18,18,16,10,8,12,6,13,3,3,6,3,2
E00173702,13,10,9,9,15,9,11,18,19,5,11,18,19,8,5,3,1,2
E00173705,6,5,9,8,5,14,19,15,15,7,10,3,1,2,1,0,1,0
E00173708,13,8,5,1,9,25,36,27,16,17,5,3,1,1,3,2,1,0
E00173710,23,29,17,21,14,42,45,40,38,29,20,26,11,7,7,4,3,1
E00173936,19,18,24,25,16,15,24,18,21,17,32,12,9,4,2,3,0,0
E00173937,31,3,1,0,3,30,38,41,23,10,4,6,1,0,0,0,0,0
E00173938,25,9,8,6,11,61,64,46,25,26,13,11,4,5,3,3,0,0
E00173940,10,22,10,14,60,50,41,17,52,17,10,49,14,18,4,8,5,2
E00173941,17,12,9,146,136,40,30,13,15,15,13,9,8,6,2,2,2,0
E00173942,7,6,11,14,52,51,29,11,11,14,10,7,5,3,2,2,1,1
E00173943,22,20,32,27,19,30,27,32,40,24,41,23,11,8,3,2,4,2
E00173944,16,12,10,12,17,36,39,33,19,17,11,7,2,5,3,1,1,0
E00173945,24,5,5,10,15,62,59,31,17,18,18,12,8,5,1,0,2,2
E00173947,10,13,14,18,18,12,18,10,20,17,19,16,15,6,0,5,6,0
E00173948,10,6,4,1,16,37,26,20,10,5,2,4,10,1,0,0,3,0
E00173949,23,31,22,10,51,76,56,37,36,32,29,39,11,8,7,1,0,0
E00173950,21,18,17,15,29,38,45,24,21,38,19,22,11,7,4,2,0,2
E00173951,19,16,15,20,24,31,30,26,19,20,16,24,21,8,5,12,9,4
E00173952,8,17,22,9,13,20,25,19,12,15,16,13,18,11,6,6,2,4
E00174008,15,6,3,8,22,49,56,37,21,24,15,6,1,1,2,0,1,0
E00174010,9,10,6,1,10,53,48,42,12,13,4,2,2,1,1,0,0,0
E00174011,6,7,3,4,3,17,19,19,12,11,2,4,1,0,0,1,0,0
E00174013,12,9,3,1,15,49,54,35,11,13,10,3,2,2,0,0,0,0
E00174015,16,10,7,14,16,43,63,42,24,18,16,9,3,2,0,0,1,0
E00174016,16,10,11,13,22,27,30,25,13,12,19,22,9,3,7,7,8,3
E00174019,19,24,21,14,13,17,30,42,34,30,12,12,7,5,7,4,3,3
E00174022,17,9,14,4,8,26,20,23,12,13,6,14,10,10,7,5,3,0
E00174024,66,27,22,14,40,81,69,91,61,32,15,24,31,7,4,3,1,0
E00174025,12,6,1,4,7,55,41,40,22,17,6,3,0,0,0,0,0,0
E00174027,10,4,2,0,9,36,38,26,14,18,5,3,3,1,0,1,0,0
E00174029,22,5,2,2,16,37,50,32,28,14,11,28,10,10,3,1,3,0
E00174030,8,6,5,8,18,35,20,23,12,13,10,36,13,5,2,1,3,0
E00174035,25,8,6,2,6,28,48,29,16,1,12,3,1,2,0,1,0,0
E00174036,10,3,5,12,10,37,28,16,20,19,21,12,8,9,9,8,2,3
E00174038,15,24,11,10,18,50,42,29,41,34,23,19,11,15,8,6,3,1
E00174554,20,19,40,61,37,29,19,26,26,32,31,29,15,8,3,3,0,6
E00174556,22,31,34,23,29,55,67,71,42,43,26,22,7,3,4,4,4,2
