msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02001519,4136,66,56,62,49,56,58,45,61,54,66,56,60,45,51,45,47,64,46,46,30,41,38,35,45,41,59,72,69,58,66,59,67,69,78,56,45,67,79,62,58,46,56,40,44,40,28,39,43,45,71,77,51,54,45,49,59,61,59,50,46,52,55,44,40,25,50,30,45,43,38,30,38,29,35,25,35,30,20,25,26,29,19,19,23,15,10,5,10,16,10,35
E02001520,6038,49,45,60,70,50,50,65,55,65,50,55,55,75,55,61,56,70,50,55,35,35,35,30,60,61,70,66,75,68,76,74,76,59,65,60,75,71,75,78,72,71,83,70,55,61,54,55,68,88,91,90,87,90,105,113,94,95,94,90,102,64,80,75,87,90,90,70,69,55,77,79,81,85,84,97,75,77,59,66,46,53,56,53,29,45,31,24,31,27,23,97
E02001521,5754,60,75,65,65,65,55,60,55,60,70,71,70,70,65,50,45,45,61,50,46,51,85,83,117,110,94,112,103,98,122,137,110,85,108,100,112,96,89,82,77,82,55,65,75,70,64,74,70,65,70,90,70,85,75,69,69,90,70,76,81,74,55,70,50,55,45,55,59,45,40,40,50,59,50,45,30,50,30,20,24,10,21,24,9,20,10,5,5,14,12,39
E02001522,4956,57,76,87,55,70,74,60,60,60,65,55,60,50,55,56,56,40,45,40,56,40,47,50,65,67,75,71,93,74,86,83,83,50,75,80,66,70,55,51,62,61,40,40,40,40,54,45,54,50,60,70,68,70,89,75,83,60,75,81,78,55,60,45,56,70,55,40,45,45,35,49,45,45,50,62,48,29,49,30,36,20,18,30,15,32,19,18,11,24,11,56
E02001523,3396,24,41,20,34,36,35,35,36,20,30,26,41,36,40,25,26,25,54,30,15,31,32,25,25,59,40,46,58,63,41,58,47,30,57,56,57,30,35,41,42,57,51,45,40,30,43,34,49,44,45,56,52,45,50,45,48,56,49,55,52,48,50,35,35,35,40,46,45,34,24,30,24,41,36,35,40,41,34,25,26,28,29,16,25,11,16,12,12,18,16,41
E02001524,3132,13,15,25,25,25,20,25,25,30,35,30,35,30,25,35,31,35,25,30,25,10,20,20,20,25,10,10,15,15,15,25,20,15,30,25,20,25,25,30,25,41,56,25,35,35,25,50,59,54,55,50,45,45,59,60,64,65,64,60,56,62,54,40,61,50,55,35,35,55,48,50,39,50,55,51,59,62,50,25,26,20,26,31,29,14,15,20,20,5,18,30
E02001525,3302,42,30,35,35,50,35,39,41,40,57,41,40,35,25,30,25,35,30,40,25,36,20,50,40,47,58,67,64,62,51,50,79,54,61,67,36,40,44,53,41,41,36,35,30,35,40,54,44,49,45,45,35,40,40,50,45,44,35,51,25,44,35,35,45,40,40,15,30,30,29,19,25,25,36,31,20,20,29,15,16,19,11,15,14,19,10,10,12,3,5,36
E02001526,3143,32,46,41,35,40,59,49,47,55,45,57,45,41,40,46,38,40,26,30,33,25,31,35,25,37,30,45,55,44,45,45,41,54,57,55,51,56,64,42,53,31,47,30,45,25,29,25,34,35,35,50,25,40,40,40,39,40,45,30,41,35,30,40,41,25,25,24,35,19,24,39,33,15,25,30,15,31,38,20,15,15,6,15,19,10,11,17,6,9,0,15
E02001527,3070,22,25,20,20,30,40,25,25,30,30,30,40,20,30,36,31,30,25,30,20,25,27,20,35,30,20,30,25,40,35,40,30,39,40,20,30,45,35,47,31,30,52,40,25,35,30,35,35,30,45,55,55,45,55,60,50,45,39,66,50,48,35,55,40,40,25,40,30,43,40,49,39,50,30,41,43,41,30,30,15,20,20,21,25,15,15,15,15,17,11,52
E02001528,5494,57,50,66,45,45,65,65,61,69,60,65,75,45,65,73,50,55,55,45,52,35,31,70,60,60,70,70,60,60,86,85,73,80,60,80,66,70,50,56,60,61,56,65,65,65,50,70,59,70,55,101,72,85,75,85,85,75,80,65,72,68,60,85,54,69,70,72,65,72,57,59,64,60,70,70,59,61,64,41,41,35,37,46,19,45,30,29,36,24,19,57
