area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00081144,10,21,22,22,15,18,11,17,16,16,30,28,35,14,17,14,9,10
E00081145,14,14,17,14,15,8,10,15,26,20,21,19,27,25,22,11,15,14
E00081146,13,17,14,20,12,11,16,12,20,23,20,21,28,22,32,15,9,13
E00081147,3,14,14,2,10,8,9,14,16,12,6,13,13,20,16,18,19,11
E00081148,15,15,17,14,12,17,11,20,23,15,14,21,17,27,30,20,18,18
E00081149,8,12,11,20,6,12,7,7,16,13,27,31,28,22,27,27,11,18
E00081150,25,16,10,19,13,15,38,10,13,19,21,21,27,17,15,5,8,5
E00081151,21,24,10,7,17,17,15,15,22,19,14,14,18,29,23,23,14,9
E00081152,20,13,18,30,17,12,19,15,22,32,24,23,38,39,26,29,11,7
E00081153,17,21,27,14,12,4,10,15,18,21,16,11,19,25,26,19,13,7
E00081154,22,20,14,9,11,10,19,15,31,14,20,23,12,16,25,20,13,4
E00081155,22,32,36,28,20,13,30,35,28,18,27,28,52,45,28,18,13,4
E00081156,11,18,23,21,21,11,11,18,23,16,28,25,27,24,30,18,9,8
E00081157,12,22,13,8,11,19,31,17,19,17,12,23,19,14,10,10,4,6
E00081158,9,10,12,14,13,10,14,12,20,16,16,15,24,26,23,18,10,9
E00081159,7,12,12,3,8,13,15,19,16,15,21,12,19,18,21,8,8,10
E00081160,19,25,33,23,8,15,24,25,20,21,19,16,17,15,19,9,9,3
E00081161,25,21,15,11,15,24,32,26,20,9,15,20,15,15,16,3,9,2
E00081162,28,19,14,8,17,39,32,25,15,19,14,22,13,19,7,2,2,5
E00081163,12,18,29,27,12,15,16,31,12,24,17,20,17,11,15,17,4,6
E00081164,22,33,34,24,20,23,31,24,27,18,23,27,24,18,22,15,2,0
E00081165,20,24,27,28,18,16,24,23,30,19,16,12,28,21,17,10,8,3
E00081166,24,36,25,17,13,21,29,39,26,18,16,18,23,13,15,8,2,3
E00081167,13,24,24,14,17,22,21,13,18,23,21,26,20,18,13,6,2,3
E00081168,16,14,22,17,17,17,15,25,23,22,29,25,31,19,26,18,8,17
E00081169,14,18,13,7,17,12,14,19,13,23,11,25,18,15,28,15,3,3
E00081170,14,13,16,15,9,18,17,20,23,14,14,16,20,24,19,8,11,8
E00081171,11,22,19,20,25,17,16,11,19,16,29,29,27,9,23,10,6,3
E00081172,22,21,32,41,22,12,24,35,19,35,27,18,26,16,16,10,8,2
E00081173,17,12,16,9,17,13,29,14,22,21,15,12,22,20,10,4,0,4
E00081174,10,26,25,19,8,14,22,32,21,11,18,7,20,33,27,13,10,5
E00081175,28,6,9,15,20,32,25,16,12,16,26,28,13,12,10,5,5,1
E00081176,13,14,14,17,17,20,24,9,16,18,20,25,15,17,19,8,4,3
E00081177,17,20,16,9,11,14,21,14,19,17,17,20,9,21,37,22,16,4
E00081178,16,15,20,18,15,15,18,17,22,18,15,27,28,21,13,28,9,7
E00081179,19,26,23,12,12,14,16,17,37,20,23,23,22,29,28,17,4,5
E00081180,14,11,5,7,10,10,13,15,14,10,12,15,26,20,25,28,12,10
E00081181,15,17,25,20,12,15,17,15,21,20,30,33,17,23,25,16,9,7
E00081182,26,20,19,12,18,23,31,22,23,17,25,22,21,15,7,4,5,3
E00081183,16,21,22,18,8,10,24,32,22,20,23,23,20,15,23,15,3,3
E00081184,16,7,24,10,12,19,15,19,19,17,20,10,26,22,18,12,19,7
E00081185,27,24,22,17,23,25,28,26,23,27,27,28,7,7,5,5,1,3
