msoa,staff/owner,staff/owner's relative,temporary/visiting
E02006698,0,1,0
E02006699,1,0,0
E02006700,2,0,0
E02006701,0,0,0
E02006702,0,0,0
E02006703,0,0,1
E02006704,0,0,0
E02006705,0,0,0
E02006706,11,0,7
E02006707,0,0,0
E02006708,0,0,0
E02006709,0,3,29
E02006710,0,0,0
E02006711,1,0,0
E02006712,1,1,0
E02006713,16,0,0
E02006714,0,0,0
E02006715,2,0,0
E02006716,0,0,0
E02006717,2,0,0
E02006718,6,0,1
E02006719,28,2,10
E02006720,10,0,0
E02006721,0,0,0
E02006722,0,0,3
E02006723,0,1,0
E02006724,0,0,1
E02006725,0,0,2
E02006726,0,0,2
E02006727,0,0,0
E02006728,0,3,0
E02006729,0,0,0
E02006730,0,0,0
E02006731,0,0,0
E02006732,0,0,0
E02006733,0,0,0
E02006734,0,0,7
E02006735,0,0,0
E02006736,0,0,0
E02006737,0,0,0
E02006738,0,0,0
E02006739,0,0,2
E02006740,3,0,0
E02006741,0,0,0
E02006742,0,0,1
E02006743,1,0,0
E02006744,6,0,35
E02006745,1,0,0
E02006746,0,0,0
E02006747,0,0,0
E02006748,0,0,0
E02006749,0,0,1
E02006750,0,0,0
E02006751,0,0,9
E02006752,0,0,0
E02006753,0,0,0
E02006754,0,0,0
E02006755,0,0,0
E02006756,0,0,0
E02006757,9,0,12
E02006758,1,0,17
E02006759,1,0,0
E02006760,36,0,22
E02006761,0,0,0
E02006762,0,0,0
E02006763,0,0,0
E02006764,0,0,0
E02006765,5,0,0
E02006766,0,0,0
E02006767,4,2,0
E02006768,0,0,0
E02006769,0,0,0
E02006770,1,0,0
E02006771,0,0,0
E02006772,3,0,0
E02006773,0,0,1
E02006774,0,0,1
E02006775,0,0,0
E02006776,0,0,0
E02006777,1,0,0
E02006778,0,0,0
E02006779,0,0,1
E02006780,0,0,0
E02006805,0,0,2
E02006806,0,0,0
E02006807,0,0,0
E02006808,0,0,0
E02006809,0,0,7
E02006810,0,0,0
E02006894,9,1,2
E02006895,1,0,123
E02006896,13,0,28
E02006897,3,0,52
E02006898,0,0,0
E02006899,0,0,4
E02006900,0,0,25
E02006943,0,0,6
E02006944,0,0,0
E02006974,0,0,1
E02006982,0,0,0
E02007038,0,2,0
E02007039,0,0,0
E02007040,0,0,1
E02007048,3,0,1
E02007049,0,0,0
E02007050,0,0,0
E02007051,0,1,0
