area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00120548,21,15,16,20,12,19,20,20,25,23,15,10,10,10,19,11,3,3
E00120549,41,43,48,24,19,10,36,30,35,32,52,21,8,15,19,13,17,27
E00120550,21,23,22,13,16,23,28,22,27,22,18,16,15,7,11,7,8,5
E00120551,34,22,26,23,19,18,35,34,36,27,16,12,14,8,10,5,1,7
E00120552,19,23,23,18,27,17,30,20,16,26,28,12,12,18,6,12,4,1
E00120553,23,28,28,22,24,14,36,29,36,25,27,16,15,11,11,4,7,3
E00120554,28,32,40,35,17,21,25,29,28,24,28,23,12,14,14,12,7,9
E00120555,33,22,27,18,14,19,23,15,44,29,21,18,15,9,14,3,11,7
E00120556,34,34,39,27,27,25,33,36,37,21,32,19,18,17,10,13,0,4
E00120557,26,23,20,16,15,6,23,21,22,16,11,14,9,12,9,4,10,23
E00120558,37,24,32,20,15,12,19,33,32,22,22,21,14,11,12,9,7,6
E00120559,16,21,17,8,3,4,18,14,23,18,11,10,21,9,8,17,8,18
E00120560,24,20,10,8,9,22,30,24,32,18,15,17,12,8,8,8,2,6
E00120561,20,20,5,7,9,16,30,29,25,20,18,21,30,17,7,3,9,6
E00120562,12,18,38,26,12,13,12,9,27,25,27,40,25,19,25,10,11,11
E00120563,14,11,13,8,8,19,27,16,17,18,25,23,21,7,9,10,10,15
E00120564,23,14,11,7,5,14,21,14,20,19,24,18,20,13,23,20,5,5
E00120565,13,26,15,15,7,9,16,14,26,21,35,28,19,12,15,12,10,5
E00120566,14,13,8,8,7,20,32,21,13,12,19,21,23,12,13,4,6,3
E00120567,22,23,9,9,15,24,48,30,34,36,30,17,18,13,10,14,5,6
E00120568,12,5,6,9,23,34,31,24,20,18,17,23,15,16,15,13,5,5
E00120569,16,24,23,15,8,8,1,15,30,21,19,10,22,20,28,35,17,3
E00120570,17,25,26,19,13,6,7,20,24,34,14,20,16,24,22,19,18,10
E00120571,8,12,8,7,5,2,5,12,18,10,8,12,11,8,15,13,14,64
E00120574,17,16,16,21,3,5,9,23,21,19,26,12,18,26,28,29,17,14
E00120575,5,17,23,14,8,7,11,6,20,22,16,34,11,23,17,13,11,7
E00120576,18,17,23,20,13,9,15,8,25,19,28,19,20,21,20,12,10,13
E00120577,2,27,21,15,10,4,4,9,26,26,14,22,19,19,19,22,13,23
E00120578,15,18,29,21,14,9,6,16,21,25,28,31,15,15,13,21,14,14
E00120579,15,21,20,19,18,11,6,21,21,31,25,17,26,31,21,16,18,4
E00120580,15,14,18,10,3,8,8,10,15,21,18,20,7,16,25,16,19,28
E00120581,12,12,12,15,18,16,19,20,16,23,31,22,23,11,8,6,5,3
E00120582,17,21,7,6,11,18,11,27,31,20,14,14,14,15,10,11,6,7
E00120583,16,9,23,15,7,13,13,18,22,13,36,21,18,16,17,7,3,6
E00120584,29,26,32,20,21,13,20,24,26,24,27,29,19,15,19,7,6,5
E00120585,25,27,20,16,10,11,17,23,22,21,33,31,22,14,18,15,16,6
E00120586,20,31,25,11,9,14,20,25,23,20,19,18,21,10,17,19,14,8
E00120587,23,25,26,17,21,13,15,14,27,30,26,15,29,22,15,7,5,13
E00120588,28,38,51,23,14,14,17,24,38,48,37,32,13,24,26,22,15,26
E00120589,18,20,26,27,18,12,13,14,21,30,33,19,29,20,22,8,9,8
E00120590,31,46,50,16,9,13,33,27,27,24,17,16,8,16,10,4,5,2
E00120591,21,30,38,15,11,8,19,18,27,31,22,16,11,16,21,11,4,5
E00120592,32,27,18,15,12,20,20,22,25,21,22,19,13,16,9,12,2,1
E00120593,17,21,29,19,18,5,6,17,21,25,27,30,30,22,22,23,21,26
E00120594,15,19,37,26,17,11,14,19,21,28,32,41,48,30,21,15,5,13
E00120595,10,16,11,14,17,7,8,14,9,24,28,25,25,17,33,31,28,29
E00120596,25,22,20,20,14,2,23,13,31,22,53,20,19,12,24,15,9,8
E00120597,22,20,31,18,13,5,16,21,28,21,24,25,12,14,21,12,9,10
E00120598,18,36,53,34,20,19,19,14,48,67,41,49,24,27,17,15,14,11
E00120599,15,25,30,25,25,15,3,13,26,25,53,30,28,17,22,12,6,13
E00120600,8,20,25,19,7,6,3,13,20,23,15,16,20,17,20,14,11,11
E00120601,8,10,11,14,11,6,13,7,11,15,14,9,15,12,18,23,20,21
E00120602,15,22,21,9,7,5,5,19,25,21,19,17,25,18,31,19,10,15
E00120603,20,10,25,16,11,19,22,27,21,24,23,22,20,19,13,8,2,2
E00120604,7,10,12,13,18,11,13,18,7,13,22,25,34,28,21,10,1,2
E00120605,14,15,22,17,18,18,16,18,19,17,28,39,35,13,9,2,1,4
E00120606,29,34,35,23,14,25,32,39,23,20,32,20,12,8,8,11,0,5
E00120607,36,49,24,21,21,37,45,43,43,33,36,44,47,24,18,12,9,9
E00120608,17,18,16,15,12,24,28,26,20,21,17,19,9,8,6,4,4,6
E00120609,28,37,26,25,28,34,28,29,23,30,26,16,19,8,8,5,6,6
E00120610,7,19,22,24,33,27,17,20,19,31,40,35,31,19,9,9,9,0
E00120611,23,14,30,34,17,18,19,30,32,16,19,26,17,10,13,15,4,9
E00120612,21,15,9,10,20,23,22,15,13,8,26,28,23,16,10,8,13,16
E00120613,23,40,51,24,19,32,29,22,22,24,33,19,13,5,9,3,2,2
E00120614,15,11,15,10,11,25,14,11,13,17,23,23,17,14,15,13,12,36
E00120615,12,22,22,23,14,25,16,19,23,15,23,12,19,13,7,5,5,8
E00120616,6,8,0,1,4,13,11,7,4,5,10,22,19,8,18,13,14,26
E00120617,23,26,24,20,11,20,21,32,23,23,18,15,10,10,8,7,4,5
E00120618,10,17,16,14,9,17,13,16,19,19,26,30,21,17,15,11,8,5
