msoa,staff/owner,staff/owner's relative,temporary/visiting
E02004291,0,0,0
E02004292,0,0,0
E02004293,0,0,0
E02004294,0,0,0
E02004295,0,0,0
E02004296,0,0,0
E02004297,0,0,0
E02004298,0,0,0
E02004299,0,0,0
E02004300,0,0,0
E02004301,0,0,0
E02004302,0,0,0
E02004303,0,0,0
E02004304,2,0,0
E02004305,0,0,0
E02004306,1,0,0
E02004307,0,0,3
E02004308,0,3,19
E02004309,0,0,0
E02004310,0,0,0
E02004311,0,0,0
E02004312,0,0,0
E02004313,0,0,4
E02004314,19,5,67
E02004315,10,6,45
E02004316,0,0,0
E02004317,0,1,0
E02004318,0,0,0
E02004319,0,0,0
E02004320,0,0,0
E02004321,0,0,0
E02004322,0,0,0
E02004323,0,0,0
E02004324,0,0,0
E02004325,0,1,0
E02004326,0,0,0
E02004327,0,0,0
E02004328,0,0,0
E02004329,0,0,4
E02004330,0,2,0
E02004331,0,0,0
E02004332,0,0,0
E02004333,0,0,0
E02004334,0,0,0
E02004335,0,0,0
E02004336,0,0,0
E02004337,0,0,0
E02004338,0,0,0
E02004339,0,0,0
E02004340,0,0,0
E02004341,0,0,0
E02004342,2,0,0
E02004343,0,0,3
E02004344,0,0,0
E02004345,0,0,0
E02004348,1,0,0
E02004349,0,0,0
E02004350,0,0,0
E02004351,0,9,0
E02004352,0,0,0
E02004353,7,0,0
E02004354,0,0,0
E02004355,0,0,0
E02005702,6,2,0
E02005703,7,3,0
E02005704,0,0,0
E02005705,7,0,0
E02005706,0,0,0
E02005707,4,1,1
E02005708,16,9,0
E02005709,1,0,0
E02005710,2,0,0
E02005711,0,0,0
E02005712,0,0,0
E02005713,0,0,0
E02005715,0,0,0
E02005717,0,0,0
E02005718,0,0,0
E02005719,0,0,0
E02005720,0,8,58
E02005721,0,1,1
E02005722,2,0,0
E02005723,0,0,0
E02005724,0,0,0
E02005725,1,0,0
E02005726,0,0,1
E02005727,6,0,0
E02005728,0,0,0
E02005729,6,0,0
E02005730,0,0,2
E02005731,0,0,0
E02005733,3,0,1
E02005734,0,0,0
E02005735,0,0,0
E02005736,0,0,0
E02005739,0,1,1
E02005740,0,0,0
E02005741,0,1,0
E02006811,0,0,0
E02006812,0,0,0
E02006841,0,0,21
E02006842,0,0,2
E02006893,0,0,0
E02006909,0,0,0
E02006910,0,0,12
E02007022,14,1,23
E02007058,0,0,0
E02007059,0,0,3
E02007060,0,0,0
E02007061,0,0,2
E02007062,0,0,0
E02007063,0,0,0
E02007094,0,0,0
E02007095,2,0,0
E02007096,0,0,0
E02007097,0,0,28
E02007098,0,0,0
E02007099,7,2,79
E02007100,4,1,75
E02007101,0,0,9
E02007102,0,0,45
E02007103,0,0,2
E02007104,1,0,4
E02007105,0,0,0
E02007106,0,0,0
E02007107,0,0,3
