msoa,staff/owner,staff/owner's relative,temporary/visiting
E02004477,0,0,0
E02004478,0,0,2
E02004479,0,0,0
E02004480,0,0,0
E02004481,0,0,0
E02004482,0,0,0
E02004483,0,0,0
E02004484,0,0,0
E02004485,0,0,0
E02004486,0,0,4
E02004487,0,0,0
E02004488,0,1,0
E02004489,18,0,1
E02004490,0,0,0
E02004491,0,0,0
E02004492,0,0,0
E02004493,0,0,0
E02004495,1,0,3
E02004496,0,3,0
E02004497,0,0,0
E02004498,0,0,0
E02004499,0,0,0
E02004500,0,0,1
E02004501,0,0,0
E02004502,0,0,0
E02004503,2,0,2
E02004504,0,0,0
E02004505,0,0,3
E02004506,0,0,0
E02004507,0,0,0
E02004508,0,0,0
E02004512,0,9,1
E02004513,0,0,21
E02004514,0,0,0
E02004515,0,0,0
E02004516,1,0,26
E02004517,18,0,0
E02004518,1,0,3
E02004519,0,0,0
E02004520,4,0,2
E02004521,2,0,3
E02004522,0,0,17
E02004523,0,0,5
E02004524,0,0,0
E02004525,0,0,0
E02004526,0,0,2
E02004527,3,0,0
E02004528,0,0,0
E02004529,1,0,6
E02004530,0,0,0
E02004531,1,1,0
E02004532,0,0,0
E02004533,1,1,0
E02004534,0,0,0
E02004535,1,0,0
E02004536,0,0,0
E02004537,0,0,0
E02004538,0,0,2
E02004539,0,0,0
E02004540,0,0,0
E02004541,0,0,0
E02004542,2,0,0
E02004543,0,0,0
E02004544,1,0,1
E02004545,1,0,0
E02004546,1,0,0
E02004547,0,0,32
E02004548,0,0,1
E02004549,1,0,6
E02004550,2,0,0
E02004551,0,0,1
E02004552,0,0,1
E02004553,0,0,0
E02004554,0,0,0
E02004555,12,0,4
E02004556,0,0,0
E02004557,1,0,0
E02004558,1,0,3
E02004559,3,0,0
E02004560,5,0,6
E02004561,0,0,0
E02004562,0,0,0
E02004563,0,0,0
E02004564,0,0,0
E02004566,0,0,1
E02004567,0,0,0
E02004568,0,0,0
E02004569,1,1,2
E02004570,0,0,0
E02004571,0,0,0
E02004572,0,0,0
E02004573,0,0,0
E02004574,0,0,0
E02004575,0,0,0
E02004576,1,0,1
E02004577,0,0,0
E02004578,0,0,2
E02004579,1,0,0
E02004580,0,0,0
E02004581,0,0,0
E02004582,0,0,0
E02004583,0,1,2
E02004584,1,0,0
E02004585,0,0,0
E02004586,0,0,0
E02004587,0,0,0
E02004588,3,0,0
