msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02001728,4911,51,40,60,40,50,66,55,50,40,50,49,40,55,65,79,60,45,74,55,25,54,35,47,44,63,60,54,50,75,55,60,60,55,65,65,91,60,65,75,71,60,60,64,50,64,85,55,64,60,45,65,55,65,75,65,65,65,75,75,75,75,75,60,60,60,60,45,51,40,65,55,61,45,64,65,43,50,51,40,30,20,45,36,42,20,20,25,14,6,12,36
E02001729,5604,85,100,85,92,79,72,70,95,75,70,70,74,92,55,59,67,71,70,125,261,223,95,118,111,135,131,106,117,122,103,85,106,109,115,107,85,120,90,93,91,60,81,60,62,54,71,55,45,45,35,50,66,35,35,45,55,30,45,40,45,24,35,35,35,20,30,40,20,35,20,10,25,15,15,19,15,15,10,10,19,10,5,0,5,10,5,11,16,4,6,42
E02001732,2964,42,30,35,36,34,36,45,35,40,35,44,44,46,46,30,26,47,30,30,15,25,25,15,29,34,40,34,46,34,49,51,49,64,70,49,45,40,41,30,57,49,35,30,31,38,30,20,35,30,46,40,40,44,39,36,35,30,35,35,25,45,45,38,30,73,40,35,25,25,25,30,24,20,25,20,15,15,10,21,10,15,10,15,21,15,10,5,16,6,0,24
E02001734,4158,36,50,64,40,43,68,61,65,50,63,68,59,45,50,62,63,64,56,45,35,28,28,48,51,62,50,57,40,59,74,62,48,50,80,80,55,50,55,58,73,86,56,40,48,55,50,51,40,57,40,50,41,63,49,40,55,45,44,45,57,50,40,45,49,57,45,38,31,30,40,30,35,30,24,40,28,10,30,32,25,19,18,27,18,14,21,16,16,16,12,65
E02001735,3558,21,40,40,50,54,57,40,55,45,45,54,54,56,55,45,47,41,55,45,40,44,29,33,35,39,40,44,50,45,45,57,45,55,60,50,40,65,55,55,46,49,46,45,35,39,30,62,68,50,40,50,40,35,35,61,55,35,45,60,34,40,40,45,45,25,45,30,36,9,25,20,25,30,25,45,25,20,15,15,20,25,20,15,5,24,14,5,16,10,16,43
E02001737,3114,26,35,40,40,34,51,35,66,50,54,20,45,45,46,35,20,35,35,20,30,30,28,24,44,29,40,35,66,54,60,56,49,45,35,55,51,45,45,40,36,35,40,54,41,30,40,41,30,30,35,40,40,39,49,50,55,35,50,40,40,35,40,30,45,20,35,33,30,20,30,25,30,29,25,30,25,20,15,15,9,10,5,10,10,15,15,5,15,12,6,27
E02001738,3085,23,15,15,30,30,30,39,34,44,40,35,45,25,25,35,29,45,30,30,15,20,15,20,15,15,20,15,10,20,15,15,10,15,20,20,15,30,35,35,30,40,40,45,60,45,45,45,35,50,45,45,35,45,40,35,40,35,44,45,55,30,36,39,45,45,44,40,45,55,39,50,56,61,68,50,57,46,43,24,35,25,43,57,32,26,21,20,10,18,9,43
E02001739,3797,44,41,40,51,29,35,34,30,30,25,30,30,25,45,40,49,35,40,25,25,20,26,41,46,60,45,53,35,45,45,40,51,56,54,45,40,30,50,35,45,35,40,40,35,35,45,45,50,58,49,64,55,76,56,45,65,63,62,61,55,55,65,59,59,54,53,40,55,64,48,63,51,55,50,66,47,31,39,24,28,15,25,14,29,15,20,15,10,16,10,23
E02001740,3102,22,15,35,40,30,35,39,48,39,45,54,50,50,55,40,57,40,46,35,25,15,5,20,25,15,20,20,15,15,15,10,20,25,20,30,30,30,45,35,35,55,64,50,45,40,45,44,44,55,40,68,40,35,45,49,49,40,45,45,40,40,40,29,55,45,30,30,25,35,29,40,30,40,30,50,35,32,30,20,25,15,20,25,28,21,10,15,14,10,17,54
E02001741,4114,41,36,30,41,40,40,30,45,30,30,35,35,30,35,25,40,40,40,35,25,15,30,36,15,20,40,35,30,45,48,59,50,66,45,60,50,50,55,55,45,50,50,50,30,35,40,55,40,49,50,60,40,50,56,65,54,50,69,65,66,65,60,50,50,64,55,60,50,59,50,55,71,66,68,70,53,46,55,40,35,35,39,30,46,43,32,33,24,23,31,80
E02001742,3087,30,15,25,35,25,45,40,35,20,30,30,30,25,35,30,39,30,30,35,20,20,20,25,15,25,15,25,25,20,20,25,20,20,25,30,25,45,20,35,35,40,54,50,35,40,30,44,43,45,48,55,45,45,64,49,45,40,54,50,45,35,45,34,50,40,45,35,44,34,39,63,40,35,50,50,37,54,39,30,29,26,29,19,14,20,26,10,15,6,17,62
E02001743,3875,33,40,45,55,40,50,40,44,49,40,40,50,40,30,50,45,50,40,35,35,20,25,35,35,35,35,34,40,30,35,30,40,50,59,60,55,45,55,60,50,70,69,76,65,50,55,60,50,65,68,60,60,60,55,55,40,59,45,61,50,45,50,50,60,55,35,50,40,50,30,35,40,44,50,45,35,19,20,24,25,25,20,24,15,10,19,14,9,18,11,56
E02001744,4156,36,35,67,40,45,50,40,48,58,45,64,50,35,55,45,39,40,51,30,30,25,20,30,36,40,43,53,55,62,82,77,60,76,63,65,82,82,55,71,61,69,54,55,55,55,60,55,54,59,74,50,60,45,60,50,54,45,59,55,45,55,60,55,45,55,40,45,45,44,35,40,30,40,35,35,30,20,24,25,25,16,15,13,20,20,19,9,27,10,16,54
E02001745,3509,37,30,35,36,32,25,32,39,48,39,34,54,40,50,30,37,20,30,39,43,32,26,32,31,45,48,46,40,51,49,45,57,58,55,66,45,46,52,61,45,35,54,40,52,33,40,34,44,39,44,50,55,40,58,44,50,48,44,46,45,61,50,48,45,38,40,45,45,35,39,39,35,47,53,45,28,32,25,25,18,21,20,20,20,10,19,10,10,5,6,20
E02001746,4249,27,20,45,40,59,35,45,50,40,59,45,45,55,55,40,53,45,41,35,35,25,30,30,40,40,25,30,30,35,52,50,40,40,50,45,50,50,60,60,60,77,70,65,60,55,60,64,44,73,74,50,75,87,65,65,55,60,65,76,55,55,55,63,60,54,40,35,45,40,49,55,60,45,40,56,49,40,48,30,20,36,39,25,28,26,37,10,15,24,10,54
