Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RKEQ4,The Whittington Hospital,NHS TRUST SITE,N195NF,RKE,51.566482,-0.139066,E02000557
RKEHC,The Whittington Hospital At Hornsey Central,NHS TRUST SITE,N88JD,RKE,51.583422,-0.131013,E02000418
RKENH,The Whittington Hospital At Northern Health Centre,NHS TRUST SITE,N76LB,RKE,51.560939,-0.123596,E02000560
RAX08,Tolworth Hospital,NHS TRUST SITE,KT67QU,RAX,51.379085,-0.288494,E02000614
RRVEW,Uclh Outreach: Bmi Bishops Wood Hospital,NHS TRUST SITE,HA62JW,RRV,51.616452,-0.446521,E02000494
RRVTG,Uclh Outreach: Bmi The Garden Hospital,NHS TRUST SITE,NW41RP,RRV,51.593715,-0.224578,E02000055
RRV82,Uclh Outreach: London Bridge Hospital,NHS TRUST SITE,SE12PR,RRV,51.506327,-0.085893,E02006941
RRV81,Uclh Outreach: Portland Hospital,NHS TRUST SITE,W1W5AH,RRV,51.523185,-0.14435,E02000970
RRV80,Uclh Outreach: The Lister Hospital,NHS TRUST SITE,SW1W8RH,RRV,51.486519,-0.150502,E02000982
RRV92,Uclh Outreach: The Princess Grace Hospital,NHS TRUST SITE,W1U5NY,RRV,51.522365,-0.152928,E02000970
RRV03,University College Hospital,NHS TRUST SITE,NW12BU,RRV,51.524891,-0.136911,E02000191
C4M4J,University College Hospital Grafton Way Building,NHS TRUST SITE,WC1E6AS,RRV,51.524893,-0.136885,E02000191
B7E1O,University College London Hospitals,NHS TRUST SITE,WC1E6EB,RRV,51.521522,-0.131314,E02000191
RRV00,University College London Hospitals Nhs Foundation Trust,NHS TRUST SITE,NW12PG,RRV,51.525735,-0.137409,E02000186
O3W6H,University College London Hospitals Nhs Ft,NHS TRUST SITE,W1T7HA,RRV,51.522693,-0.136009,E02000191
RJ224,University Hospital Lewisham,NHS TRUST SITE,SE136LH,RJ2,51.453022,-0.017916,E02007009
RPGDJ,Upton Day Hospital,NHS TRUST SITE,DA68LQ,RPG,51.457124,0.131681,E02000084
RF4VH,Victoria Hospital,NHS TRUST SITE,RM14HL,RF4,51.583657,0.187311,E02000476
R1HKJ,Wanstead Hospital,NHS TRUST SITE,E111UU,R1H,51.583704,0.027334,E02000764
RAL24,Wellington Hospital,NHS TRUST SITE,NW89LE,RAL,51.531549,-0.171472,E02000962
RTK52,West Middlesex University Hospital,NHS TRUST SITE,TW76AF,RTK,51.473648,-0.324434,E02000539
RYJ07,Western Eye Hospital,NHS TRUST SITE,NW15QH,RYJ,51.520703,-0.16333,E02000971
G6K6F,Weymouth Street Hospital,NHS TRUST SITE,W1G6NP,RQM,51.520217,-0.150694,E02000970
RATAC,Whipps Cross Hospital,NHS TRUST SITE,E111NR,RAT,51.578831,0.002638,E02000913
RV315,Willesden Hospital,NHS TRUST SITE,NW103RY,RV3,51.542836,-0.235526,E02000116
RVRC7,Wilson Hospital,NHS TRUST SITE,CR44TP,RVR,51.397252,-0.163262,E02000710
