area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00104708,11,17,15,16,17,13,12,19,9,28,16,22,13,14,21,25,16,8
E00104709,3,6,7,9,6,4,12,8,12,18,24,26,18,28,17,15,21,13
E00104710,3,3,4,1,10,3,4,8,7,5,10,14,14,12,1,3,2,3
E00104711,7,16,5,5,7,19,14,10,8,16,16,27,16,15,10,11,9,5
E00104712,27,30,23,15,23,23,17,26,18,12,12,27,20,19,15,15,14,8
E00104713,27,17,25,19,14,25,26,27,15,19,31,28,15,16,24,13,4,3
E00104714,41,54,32,13,32,41,43,48,31,28,28,20,25,21,20,6,2,1
E00104715,16,41,29,24,14,29,31,20,31,30,35,23,18,22,12,5,3,2
E00104716,20,16,19,17,9,15,19,16,27,14,15,12,21,14,23,16,9,9
E00104717,24,18,13,4,15,16,23,15,11,9,15,22,14,10,18,8,3,3
E00104718,12,14,12,18,14,21,16,9,18,10,31,23,25,20,34,23,14,17
E00104719,13,15,20,17,16,32,18,13,19,17,39,33,29,21,17,16,10,9
E00104720,10,10,15,7,16,17,16,13,17,19,21,20,23,25,20,20,4,2
E00104721,20,15,12,12,24,32,17,20,16,30,17,20,15,13,10,12,3,5
E00104722,5,10,20,22,16,21,12,22,20,21,18,30,16,23,14,12,5,4
E00104723,12,7,6,10,17,19,18,8,10,14,23,16,17,19,11,7,8,9
E00104725,20,20,39,24,26,24,13,19,34,35,36,35,37,27,18,16,11,15
E00104726,17,35,36,36,24,18,33,18,30,55,51,43,33,26,28,12,19,10
E00104727,8,12,5,7,22,23,14,16,9,25,31,30,24,10,8,8,7,2
E00104729,30,31,44,27,36,30,39,31,42,32,38,30,22,26,19,13,7,6
E00104731,8,9,7,21,9,21,18,16,14,19,22,29,17,14,22,22,13,8
E00104732,7,13,20,17,13,19,14,22,15,35,17,23,15,20,9,11,7,7
E00104733,5,6,6,10,11,7,4,10,7,12,14,9,13,14,14,15,20,17
E00104734,22,23,19,18,28,27,41,43,32,36,28,27,15,21,16,9,9,2
E00104735,18,20,18,19,20,19,26,14,26,22,35,36,25,24,24,16,6,9
E00104736,11,21,14,12,7,10,13,21,19,14,17,21,34,20,15,6,10,9
E00104737,6,13,11,18,18,15,8,15,12,26,27,29,27,11,15,9,7,4
E00104738,10,14,18,20,17,10,12,15,8,24,33,23,11,14,21,11,10,8
E00104739,11,14,9,8,10,17,15,12,20,11,15,15,13,10,11,12,8,5
E00104740,9,17,13,10,10,18,13,16,16,11,21,16,10,16,16,11,12,5
E00104741,16,9,14,12,13,21,22,22,12,18,16,17,21,14,10,20,16,16
E00104742,16,20,35,22,15,17,16,17,22,31,27,22,14,7,17,3,2,1
E00104743,29,28,27,15,14,22,39,47,28,22,17,8,17,15,16,8,5,1
E00104744,11,18,23,12,18,16,16,14,21,10,24,9,21,19,10,9,4,9
E00104745,32,28,24,17,23,29,35,22,17,11,13,16,16,11,12,14,4,4
E00104746,18,26,25,13,21,21,28,18,22,14,24,25,20,12,13,12,7,9
E00104749,25,28,30,19,11,13,21,21,29,21,17,24,18,10,8,7,5,1
E00104750,22,15,20,19,26,31,20,17,23,20,18,15,18,17,15,7,4,1
E00104751,25,28,30,16,21,18,25,29,10,26,23,15,11,17,15,8,5,1
E00104752,23,28,22,8,21,19,26,15,16,16,22,19,16,16,17,11,11,4
E00104753,15,26,22,29,15,13,17,25,23,21,23,24,30,17,12,11,6,4
E00104754,10,8,15,14,8,9,3,13,21,27,19,28,30,15,31,17,9,6
E00104755,25,22,23,13,20,23,26,18,13,13,19,15,17,10,15,11,7,5
E00104756,21,11,9,9,11,16,16,15,17,17,19,29,19,12,23,8,6,2
E00104757,7,9,8,5,4,4,6,17,13,14,11,15,15,19,9,7,2,2
E00104758,11,9,6,18,10,8,11,12,18,14,30,28,34,23,12,14,9,10
E00104760,32,37,36,31,20,24,31,20,28,20,25,22,15,12,14,11,7,3
E00104761,19,22,28,26,29,26,22,28,23,23,44,21,20,6,12,15,4,7
E00104763,31,48,41,24,28,22,23,39,44,24,30,24,23,14,22,10,1,4
E00104764,16,16,10,11,14,10,26,9,13,22,11,18,13,21,25,15,8,5
E00104765,12,19,26,18,15,16,20,24,15,11,30,16,16,22,17,13,7,5
E00104766,13,17,15,21,22,23,16,25,17,14,23,22,31,15,14,14,3,0
E00104767,10,15,22,17,11,23,28,16,22,16,22,25,20,24,20,12,3,3
E00104768,10,19,43,33,15,17,18,24,31,44,59,30,31,20,13,9,2,0
E00104769,9,15,15,6,18,17,13,14,13,10,18,21,16,18,27,11,5,1
E00104770,26,51,54,43,27,21,34,36,31,32,28,17,20,13,7,5,3,0
E00104771,11,23,28,20,17,26,25,18,16,17,11,12,7,9,1,0,2,3
E00104772,33,45,32,15,16,39,23,23,14,7,14,12,14,9,10,7,0,3
E00104773,22,44,41,27,21,22,29,27,18,22,25,22,18,15,14,6,4,4
E00104774,11,23,38,29,18,19,21,32,19,24,27,30,21,11,11,6,2,2
E00104775,20,23,30,19,18,14,26,18,22,19,21,17,14,13,1,8,6,5
E00104776,11,6,3,4,13,19,10,9,10,9,16,33,21,21,10,12,13,6
E00104777,9,8,8,14,8,12,8,13,8,16,22,19,24,20,16,25,14,3
E00104778,14,14,10,13,16,18,13,7,10,22,29,26,15,20,28,22,14,4
E00104779,30,40,40,26,26,33,38,29,36,33,30,38,33,14,19,14,12,5
E00104780,5,13,8,7,5,4,5,6,13,15,14,15,19,17,30,20,17,19
E00104781,14,15,21,21,12,17,11,15,10,26,26,24,31,18,30,24,16,44
E00104782,11,9,11,11,15,15,12,16,16,14,20,27,23,24,20,13,8,13
E00104785,20,23,28,15,20,23,33,15,16,22,24,13,11,15,7,6,1,2
E00104786,13,18,24,14,14,10,18,18,20,11,20,16,13,10,24,8,10,13
E00104787,21,35,20,23,18,17,30,21,19,24,19,6,11,6,14,13,10,6
E00104788,12,16,9,9,8,10,6,21,13,15,15,12,9,7,6,13,23,32
E00104789,9,9,9,12,15,12,8,9,6,17,24,26,19,21,18,21,15,11
E00104790,15,32,19,16,22,16,20,26,17,19,21,20,17,8,20,12,7,0
E00104791,13,16,17,11,9,15,17,23,19,20,16,25,15,13,21,10,6,4
E00104792,11,9,11,14,14,17,10,14,14,9,20,29,22,20,25,18,7,8
E00104793,11,8,20,14,9,12,14,18,24,19,13,24,19,18,24,10,9,9
E00104794,13,16,21,13,20,15,21,17,17,21,22,25,11,24,11,18,6,8
E00104795,18,20,22,17,24,28,29,23,26,18,30,41,26,16,23,12,5,6
E00104796,25,42,45,26,22,25,39,42,45,46,56,41,30,24,17,6,5,7
E00104797,20,7,15,13,11,24,21,21,10,18,20,25,26,24,26,26,18,10
E00104798,14,12,13,10,20,17,19,17,9,20,27,20,25,14,19,15,24,51
E00104799,17,22,30,19,18,15,24,19,30,25,25,17,17,18,26,12,8,7
E00104800,4,17,21,11,15,16,15,12,11,15,21,16,17,12,24,10,8,1
E00104801,16,28,21,17,22,25,23,33,18,16,23,34,26,18,13,3,8,2
E00104802,16,17,14,12,15,11,10,9,20,19,33,16,19,23,27,16,15,25
E00104803,3,17,11,24,10,11,17,18,14,18,22,21,18,27,7,7,6,2
E00104804,23,14,26,14,13,20,29,19,18,22,19,29,22,19,16,17,11,8
E00104805,13,18,21,21,16,13,9,20,21,26,41,40,31,28,31,21,10,6
E00104806,12,18,11,10,6,8,11,18,15,9,23,27,25,27,20,15,3,2
E00104807,3,7,11,8,8,8,6,11,10,14,17,18,23,27,26,19,14,6
E00104808,9,21,16,15,11,12,16,11,18,26,18,18,17,16,17,11,3,4
E00104809,11,17,15,8,11,15,10,18,25,15,31,26,28,31,23,9,12,5
E00104810,15,19,13,15,15,13,12,13,17,23,25,28,28,20,17,15,8,5
E00104812,7,3,12,6,6,17,10,8,13,7,21,30,16,17,22,24,15,18
E00104813,9,12,8,14,14,5,7,10,11,14,22,34,29,31,35,27,13,16
E00104814,11,16,4,10,7,13,18,10,17,23,24,30,25,22,20,20,15,14
E00104815,11,15,18,7,12,12,14,12,15,22,20,40,23,26,22,18,11,5
E00104816,13,13,9,14,12,10,20,14,14,22,23,10,24,15,20,11,11,10
E00104817,12,11,11,8,4,4,14,12,12,17,11,17,25,22,9,4,7,2
E00104818,15,14,17,17,16,14,21,24,18,23,37,34,29,24,25,11,7,8
E00104819,7,4,8,16,9,18,11,7,12,19,22,33,30,15,18,5,2,1
E00104820,11,12,10,13,13,18,19,16,11,16,16,12,15,17,12,4,7,7
E00104821,25,27,25,12,17,32,37,41,15,10,18,15,13,9,8,8,0,0
E00104822,6,22,14,14,6,8,14,14,19,12,14,20,21,22,19,15,3,8
E00104823,16,16,7,12,25,18,15,9,18,20,22,26,28,20,15,10,8,1
E00104824,14,18,14,16,17,29,24,26,13,23,24,25,22,19,25,19,16,27
E00104825,16,7,6,13,19,17,18,15,14,14,25,21,13,15,16,12,3,5
E00104826,19,25,35,15,23,22,21,33,16,28,19,17,10,13,8,13,8,1
E00104827,17,13,13,13,15,17,27,16,18,18,30,25,43,21,18,16,7,15
E00104828,13,12,12,15,11,19,18,17,21,21,27,20,21,15,14,8,9,9
