msoa,centroid_easting,centroid_northing,station,station_easting,station_northing,postcode,station_postcode_distance,distance_to_msoa_centroid
E02001618,430787.5344,392882.3781,Middlewood,432655.25,391125.5,S6  1TN,7.1537397774105835e-06,2.5595990589589936
E02005279,378774.573,423135.827,Rawtenstall (East Lancashireway),380904.0,422498.0,BB4 6AJ,5.312789393677367e-06,2.216808279823632
W02000057,321214.2354,342000.603499999,Llangollen (Llangollenway),321440.0,342216.0,LL208TJ,5.119898915669248e-06,0.3114859324167929
E02005284,378218.1448,421517.280200001,Rawtenstall (East Lancashireway),380904.0,422498.0,BB4 6AJ,5.312789393677367e-06,2.85174458795214
E02003677,495662.4148,202820.657,Chesham Underground,496070.0,201634.0,HP5 1DL,6.6328081562013946e-06,1.2539679139500512
E02004074,428603.4073,353885.3807,Wirksworth (Ecclesbourne Valleyway),428973.5,354027.0,DE4 4PB,2.1745578803654642e-05,0.3952335742529626
E02001663,435101.378,384257.9826,Park Grange,436361.5,385722.0,S2  3RE,1.051958998241301e-05,1.9286272601131493
E02001639,432660.5878,387484.6677,University of Sheffield,434417.6666666667,387217.0,S3  7QR,5.376108261507655e-06,1.772266293031132
E02006844,434714.4098,386967.1721,West Street,434857.0,387204.5,S1  4GD,4.394463235606943e-06,0.2765428133888464
E02006803,442656.5424,381084.301000001,Halfway,443765.5,381490.5,S20 8GF,1.538646385967082e-05,1.1778737615963644
E02005323,332470.6999,446347.635600001,Heathfield Road (Blackpool Tramway),332609.6666666667,446476.3333333333,FY7 7NR,1.3928045232774552e-05,0.18905046993068197
E02002648,332473.4752,434001.740800001,Waterloo Road (Blackpool Tramway),330549.6666666667,434152.0,FY1 6BQ,1.4188018968301602e-05,1.923922215111606
E02001720,425272.7021,566607.5219,West Jesmond (Tyne and Wear Metro),425020.0,566625.0,NE2 3DQ,7.600855189629275e-06,0.252548225553794
E02001723,421843.9998,566009.548800001,Kingston Park (Tyne and Wear Metro),421515.0,568920.0,NE3 2SW,1.2444331613499074e-05,2.9265953046830098
E02001790,435914.5932,561411.6523,East Boldon (Tyne and Wear Metro),437190.0,561492.0,NE360EX,1.7187443966907013e-05,1.2740982137555608
E02007082,453760.4902,339450.7259,Queens Medical Centre Tram ,454952.3333333333,338660.6666666667,NG7 2RT,1.5535494509933825e-05,1.4268549828834232
E02001696,429171.5256,561107.020500001,Pelaw (Tyne and Wear Metro),429392.0,562095.0,NE100UP,1.2587342438172038e-05,1.0113714470644821
E02002639,333141.9797,437665.3013,North (Blackpool Tramway),330971.0,436596.0,FY1 2AY,6.891334305300824e-06,2.4139762858999196
E02002898,455548.1431,339194.1919,Gregory Street Tram ,455399.0,338815.0,NG7 2NS,6.628786011663015e-06,0.40713192329192804
E02001773,437773.0156,565075.551999999,Chichester (Tyne and Wear Metro),436455.0,565905.0,NE334JB,5.851268836103339e-06,1.5536030624042063
E02001724,425709.2357,565834.3824,Jesmond (Tyne and Wear Metro),425347.0,565457.0,NE2 4DG,1.032441303668313e-05,0.5221238847582285
E02001763,432139.5366,567659.9375,Howdon (Tyne and Wear Metro),432440.0,566900.0,NE280BD,8.193937073762776e-06,0.816292953727685
E02004964,503638.9504,193372.7959,Rickmansworth Underground,505717.5,194602.0,WD3 1QY,1.2450378759607245e-06,2.4092183834165404
E02001691,425262.228,561623.0736,shead (Tyne and Wear Metro),425457.0,563038.0,NE8 1LX,1.1906043746215527e-05,1.4270834269033397
E02002886,454523.1388,341184.754899999,Wilkinson Street Tram ,455299.3333333333,341931.3333333333,NG7 7WY,1.2537641382263913e-05,1.0750550527870124
E02001753,436580.0987,569433.560000001,Tynemouth (Tyne and Wear Metro),436635.0,569325.0,NE304RE,7.964528274826212e-06,0.12150210575874196
E02005570,615764.8049,342797.736099999,Sheringham (North Norfolkway),615648.0,343077.0,NR268QU,1.4121693972347782e-05,0.3023139526171286
E02005856,451029.2235,338209.441299999,Cator Lane,451768.25,336408.75,NG9 5BQ,1.9980436473642746e-05,1.9448790301560344
E02001727,429023.2381,565591.330499999,Walkergate (Tyne and Wear Metro),428315.0,565743.0,NE6 4QE,9.806430256497342e-06,0.7221942130790808
E02005916,457192.1006,333265.570699999,Holy Trinity Tram ,455175.0,333599.3333333333,NG119DN,8.528257860969833e-06,2.0387162859466748
E02002873,456119.6492,344544.6006,David Lane Tram ,455006.3333333333,343374.6666666667,NG6 0BY,8.528038131740236e-06,1.612299112025038
E02005912,457455.5452,336023.2722,Compton Acres Tram ,456744.0,336071.0,NG117HP,5.926510869773377e-06,0.7110728271967774
E02001712,424997.6774,567978.327199999,South Gosforth (Tyne and Wear Metro),425162.0,568022.0,NE3 1YT,6.829217070920143e-06,0.1695402086235312
E02001798,435325.3152,558470.910800001,South Hylton (Tyne and Wear Metro),435477.0,556710.0,SR4 0LN,5.0271529692545765e-06,1.7660188922214173
E02002640,331409.9643,437070.007999999,North (Blackpool Tramway),330971.0,436596.0,FY1 2AY,6.891334305300824e-06,0.6449503544867258
E02002877,457449.7976,342944.4345,Beaconsfield Street Tram ,455798.5,341742.5,NG7 6AR,9.526629067118264e-07,2.038109282694671
E02002636,332233.6956,438977.469900001,Lowther Avenue (Blackpool Tramway),330723.0,438929.0,FY2 9NY,9.141505182634966e-06,1.5069624771821202
E02004971,510301.1708,199027.601,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,2.5339210031851183
E02004539,543284.8287,195760.453199999,Loughton Underground,542321.0,195638.5,IG104PD,2.367847486592742e-06,0.9685677363015467
E02001772,436834.1973,565130.9661,Chichester (Tyne and Wear Metro),436455.0,565905.0,NE334JB,5.851268836103339e-06,0.8608824906797621
