Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-5704976910,2018-10-12,Y,Abbeyvale Care Centre,North East,County Durham,Laidler Close,Hartlepool,TS27 4QP,54.741019,-1.279821,Easington,"Lewis, Karen",,,Y,,Y,,Y,Y,,,Y,3,3,E06000047,E02004330,E00105225,42,36.0,86.0,0.93247,1.0,2.381,0.05624
1-5806471801,2018-09-28,Y,Derwent Care Home,North East,County Durham,Low Westwood,Newcastle Upon Tyne,NE17 7PL,54.903417,-1.822688,North West Durham,"Kerry, Louise",,,Y,,Y,,,Y,,,,2,2,E06000047,E02004298,E00171811,45,40.0,90.0,0.96385,5.0,10.9994,0.0143
1-5878312988,2018-12-03,Y,Langley House Care Centre,North East,County Durham,Sunderland Road,Peterlee,SR8 4NL,54.764701,-1.320617,Easington,"Nesbit, Gareth",,,Y,,Y,,,Y,Y,Y,,1,1,E06000047,E02004327,E00105369,30,26.0,87.0,0.93317,,,
1-5897117788,2018-10-25,Y,The Village Nursing and Care Home @ Murton,North East,County Durham,Wellfield Road,Seaham,SR7 9HN,54.818437,-1.398197,Easington,"Kohli, Sushilta",Y,Y,,,Y,,Y,Y,Y,Y,Y,1,1,E06000047,E02004322,E00105432,40,36.0,90.0,0.93752,,,
1-5897613226,2018-10-25,Y,The Elms @ Kimblesworth,North East,County Durham,Elm Crescent,Chester Le Street,DH2 3QJ,54.819199,-1.597806,North Durham,"Hughes, Diane",,Y,,,Y,Y,,Y,Y,Y,,5,5,E06000047,E02004296,E00104549,19,16.0,82.0,0.82261,2.0,12.1167,0.11731
1-5902193838,2018-10-25,Y,Benfield Hall Nursing Home,North East,County Durham,155 Durham Road,Consett,DH8 5TH,54.860677,-1.841834,North West Durham,"Hughes, Diane",Y,Y,,,Y,,Y,Y,Y,Y,Y,0,0,E06000047,E02004303,E00104669,20,19.0,94.1224435613772,,,,
1-6165204509,2019-01-08,Y,Holly Lodge Care Home,North East,County Durham,Maddison Street,Shildon,DL4 1NX,54.625879,-1.64681,Bishop Auckland,"Kerry, Louise",,,Y,,Y,,Y,Y,Y,,Y,3,3,E06000047,E02004340,E00171864,41,39.0,95.0,0.93722,2.0,4.878,0.03049
1-6904878517,2019-06-20,Y,Elliott House,North East,County Durham,Seaside Lane,Peterlee,SR8 3PG,54.788054,-1.327875,Easington,"Masar, Ronnie",,,Y,,,Y,Y,,,,,3,3,E06000047,E02004324,E00105302,11,11.0,100.0,0.96346,0.0,0.0,0.00245
1-7079329691,2019-07-22,Y,The Manor House Barnard Castle,North East,County Durham,The Manor House,Barnard Castle,DL12 8ET,54.546607,-1.917558,Bishop Auckland,"Martin, Robert",,,Y,,Y,,,Y,,,Y,2,2,E06000047,E02007022,E00105834,76,64.0,85.0,0.93398,6.0,8.3736,0.08312
1-732493010,2013-06-13,Y,Dipton Manor Care Home,North East,County Durham,Front Street,Stanley,DH9 9BP,54.880308,-1.757359,North West Durham,"Pattinson, Stevie",Y,Y,,,Y,,,Y,,,Y,4,4,E06000047,E02004297,E00104798,70,59.0,85.0,0.7844,4.0,5.8757,0.16498
