msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02002995,2929,44,30,25,36,34,45,30,40,25,40,20,30,30,30,20,25,25,30,30,34,114,116,73,47,58,54,40,45,49,59,59,40,45,55,67,40,41,30,45,30,46,25,35,35,41,30,25,20,20,55,30,35,35,34,50,40,25,35,25,45,45,20,30,30,20,20,20,15,25,10,20,15,20,14,24,20,10,9,20,20,10,20,15,10,5,5,0,6,5,5,25
E02002996,5749,30,25,25,25,30,25,41,25,25,40,30,36,36,40,56,62,45,42,247,880,390,228,222,128,75,60,64,66,45,45,55,35,40,45,35,40,51,25,40,35,46,55,50,30,40,55,55,50,45,50,58,61,45,54,60,71,61,65,55,54,65,49,54,35,50,54,38,35,62,40,44,45,54,40,50,35,42,35,30,25,41,31,26,29,19,18,22,21,22,10,79
E02002997,4195,34,25,30,25,20,30,25,20,25,20,30,25,20,20,20,20,29,10,66,310,476,352,341,152,97,74,59,66,59,59,50,45,60,40,50,40,41,49,45,50,30,20,40,25,30,30,25,30,35,40,30,30,40,35,25,30,30,40,25,30,30,30,20,25,25,25,30,25,30,24,20,20,20,20,20,25,15,20,25,20,9,15,0,4,9,15,0,12,0,10,23
E02002998,2979,19,15,25,15,20,20,20,20,25,25,20,20,25,25,25,34,20,20,20,68,272,198,184,112,44,35,35,25,35,35,25,39,40,30,35,30,35,30,30,41,30,30,25,25,20,35,25,30,40,25,30,20,25,40,30,30,30,35,30,30,35,30,25,30,20,15,20,20,30,35,20,15,30,20,10,20,14,20,15,0,20,10,10,15,15,10,15,18,10,5,51
E02002999,2864,30,25,20,25,29,30,30,30,15,41,35,25,35,40,25,30,25,30,35,25,57,58,42,28,35,25,25,35,35,35,40,45,30,45,35,45,30,40,30,42,36,35,40,40,40,30,25,30,35,35,45,35,40,35,40,25,35,49,30,35,35,34,30,40,35,30,30,25,35,30,34,25,40,39,47,34,25,20,19,20,20,15,25,15,25,15,15,6,5,10,34
E02003000,4952,40,35,35,25,39,40,40,50,45,56,65,41,51,60,55,45,35,45,56,54,39,39,20,30,35,30,55,40,40,45,40,40,55,50,40,40,57,50,35,55,57,50,45,60,61,45,55,49,55,70,84,65,55,65,80,65,94,85,75,85,100,90,78,78,74,82,78,75,67,66,64,75,88,59,85,60,67,79,65,55,30,51,46,40,30,32,32,28,31,14,86
E02003001,2816,18,25,20,15,20,25,25,25,35,36,25,36,36,43,51,43,45,58,30,38,33,20,32,24,25,30,20,25,25,25,25,20,25,30,25,20,26,30,25,24,30,40,35,35,25,35,38,51,51,50,47,40,45,45,45,40,47,30,40,62,40,30,34,49,35,34,39,30,25,30,25,34,30,25,35,25,20,30,15,19,26,21,20,5,15,23,18,12,10,14,59
E02003002,3244,28,36,26,30,47,40,35,48,35,30,44,43,54,48,30,34,30,30,30,32,52,42,37,39,39,40,25,51,35,42,35,44,45,30,41,41,43,40,47,35,41,41,51,45,46,45,39,35,25,45,52,45,48,40,40,58,46,50,25,49,30,44,39,20,45,34,28,30,33,30,25,30,39,34,26,40,26,29,25,20,21,10,26,15,19,15,6,10,17,22,57
E02003003,3069,39,30,41,30,40,41,25,30,30,30,35,30,20,30,30,35,35,25,20,49,100,62,46,42,44,25,30,30,44,35,44,50,55,45,50,30,40,50,40,36,41,40,40,51,30,35,44,25,30,45,44,40,45,44,30,25,46,45,45,45,35,25,35,39,35,25,25,24,25,35,15,30,25,30,36,25,15,20,30,19,15,21,20,15,10,15,15,6,10,10,51
E02003004,3653,41,30,36,47,43,40,45,45,45,46,40,41,41,30,45,29,40,40,40,34,29,20,32,38,30,40,25,45,44,45,39,35,50,50,50,55,42,45,40,56,35,50,40,45,41,61,39,50,40,40,59,60,59,61,45,56,46,50,65,55,55,44,49,45,30,49,47,35,39,40,53,40,40,45,35,50,34,35,30,20,10,36,20,20,24,20,10,12,22,14,45
