area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00072738,21,19,13,3,10,16,30,25,11,11,10,23,13,19,15,11,6,9
E00072739,13,5,12,13,11,18,21,19,9,14,18,15,22,19,10,11,13,10
E00072741,3,0,5,1,8,6,8,9,8,9,10,18,25,16,14,28,24,43
E00072742,18,9,15,14,15,15,18,22,16,21,27,30,15,11,23,22,10,12
E00072743,7,6,7,4,10,11,4,18,6,16,17,15,21,14,19,21,12,14
E00072744,17,16,18,12,13,9,19,26,21,23,29,22,24,20,28,17,12,16
E00072745,5,9,8,7,18,58,32,7,15,17,17,22,16,17,26,23,20,33
E00072746,11,20,15,17,14,15,18,17,8,21,20,19,20,17,18,14,9,12
E00072747,9,8,5,9,10,19,15,5,20,22,13,22,12,9,8,7,8,5
E00072748,24,23,17,17,23,16,31,27,11,15,21,19,12,4,14,9,8,14
E00072749,39,34,28,23,19,33,49,34,30,33,28,31,25,23,20,25,2,14
E00072750,50,33,14,17,24,55,25,22,17,16,16,15,10,8,3,5,1,0
E00072751,19,20,19,15,19,19,21,11,19,17,19,26,18,11,7,6,8,8
E00072752,26,26,31,21,25,17,27,33,24,24,15,14,13,13,21,9,5,13
E00072753,31,29,28,23,28,32,46,27,25,26,29,20,16,11,20,17,8,7
E00072755,0,3,5,1,28,34,17,15,13,10,9,8,15,3,2,3,0,0
E00072756,2,3,4,12,66,37,24,13,11,11,19,10,16,9,14,4,4,3
E00072757,9,11,6,10,14,15,18,16,13,17,20,16,9,4,7,2,3,4
E00072758,8,7,3,188,263,59,16,21,13,8,9,15,8,7,7,2,4,1
E00072759,11,6,9,144,80,20,15,16,17,17,10,21,17,11,6,5,3,5
E00072760,4,17,17,22,3,9,5,6,18,14,18,21,15,21,22,18,15,10
E00072761,3,4,4,4,44,33,15,8,11,7,9,7,16,8,13,11,7,2
E00072762,4,10,15,16,70,19,13,17,20,23,17,14,10,13,2,1,4,2
E00072763,3,5,4,6,64,24,20,7,17,10,15,16,16,14,13,7,9,6
E00072764,5,1,3,4,18,27,21,8,4,8,12,16,18,17,14,8,5,5
E00072765,18,16,20,20,32,13,10,17,19,20,27,23,18,16,15,10,5,22
E00072766,24,9,12,24,45,18,22,23,9,18,19,31,21,13,15,5,5,34
E00072767,20,27,22,17,42,18,23,22,21,31,23,26,12,9,11,10,5,5
E00072768,6,3,4,28,103,44,43,15,19,15,16,11,15,19,15,7,9,8
E00072769,15,7,6,24,60,37,33,22,21,22,21,12,11,14,6,6,4,5
E00072770,9,12,7,22,73,23,31,8,15,18,10,10,8,6,8,9,2,3
E00072771,10,11,15,15,70,26,10,20,15,18,12,12,10,13,6,5,2,2
E00072772,10,0,8,23,110,61,22,15,13,15,20,14,6,8,11,5,3,3
E00072773,11,6,3,3,34,49,18,18,12,11,16,11,9,6,4,3,0,3
E00072774,5,3,3,1,28,21,15,14,11,10,15,11,5,9,5,3,2,1
E00072775,2,2,6,6,39,28,30,16,9,13,11,6,8,3,3,3,6,0
E00072776,11,22,23,10,17,10,10,20,19,22,16,31,12,15,18,10,14,5
E00072777,15,21,14,14,7,10,8,24,11,26,27,24,20,24,26,9,8,6
E00072778,15,17,26,19,11,7,15,13,25,20,24,28,20,18,30,8,3,9
E00072779,8,8,17,20,23,20,31,17,23,33,21,33,18,15,16,10,9,7
E00072780,19,20,25,24,11,10,18,23,18,30,25,23,21,15,18,9,14,18
E00072781,9,14,13,10,8,8,8,19,15,15,21,22,13,13,17,7,8,7
E00072782,6,11,9,6,11,7,14,11,11,14,10,22,24,22,13,19,21,27
E00072783,21,26,27,17,17,27,34,33,23,24,31,28,26,16,19,10,2,7
E00072784,24,24,18,19,7,17,29,23,29,21,23,18,11,7,8,8,3,5
E00072785,7,11,13,19,10,16,7,15,13,19,23,19,12,20,16,8,10,3
E00072786,16,16,25,31,9,10,17,18,21,25,26,36,28,13,18,11,5,8
E00072787,5,8,6,4,20,26,15,13,17,12,11,14,13,11,13,12,19,36
E00072788,18,25,19,16,6,16,27,11,22,23,20,21,25,23,20,14,17,15
E00072789,6,18,29,14,9,12,16,15,15,14,25,23,15,15,13,15,13,15
E00072790,14,12,17,20,24,19,15,9,13,18,24,20,20,14,15,9,7,6
E00072791,20,15,25,17,11,13,20,21,22,25,26,24,14,12,14,5,3,11
E00072792,15,8,20,15,15,4,7,11,10,21,22,16,16,16,22,21,5,12
E00072793,13,14,6,7,15,19,20,20,21,13,10,14,11,8,11,13,7,5
E00072794,13,19,22,21,24,8,10,12,29,27,35,35,18,20,16,14,13,6
E00072795,12,14,19,18,18,11,6,7,14,23,21,29,13,13,10,8,12,5
E00072797,3,13,48,77,10,3,5,6,10,26,32,24,20,26,20,11,6,11
E00072798,10,19,97,83,13,2,10,14,18,19,29,25,13,10,16,14,10,11
E00072799,11,4,16,11,11,8,13,12,16,16,25,26,29,13,25,13,10,9
E00072800,6,19,17,10,8,3,10,4,18,19,21,18,10,15,16,11,3,9
E00072801,10,15,24,17,7,7,8,12,20,12,27,39,23,20,34,28,17,18
E00072802,5,15,13,17,26,18,8,17,17,19,23,23,15,13,16,11,3,1
E00072803,8,11,8,6,6,4,7,12,13,19,15,26,26,21,14,17,16,10
E00072804,3,5,2,3,11,19,26,11,10,5,8,9,9,10,12,8,8,2
E00072805,5,5,7,13,35,33,15,9,16,10,21,34,13,12,18,11,10,9
E00072806,3,4,10,8,41,24,13,8,8,17,14,15,4,4,7,1,1,0
E00072807,1,4,4,4,58,16,20,13,12,6,5,10,5,6,12,7,5,4
E00072808,3,2,2,5,36,21,9,8,4,5,12,9,5,7,5,5,6,4
E00072809,5,3,5,16,38,30,23,12,11,14,16,15,16,9,9,6,3,3
E00072810,10,9,7,14,59,33,23,16,13,26,13,11,8,4,4,0,1,0
E00072811,6,7,9,9,17,24,16,15,18,15,20,17,10,4,2,4,1,0
E00072812,15,1,4,9,40,24,13,16,6,19,19,14,12,10,4,1,3,0
E00072813,14,18,22,15,23,14,14,14,17,22,30,23,26,27,23,16,6,13
E00072814,19,18,22,34,23,7,8,22,19,35,31,33,23,25,12,4,2,3
E00072815,8,19,31,10,16,18,12,9,17,31,22,18,17,14,23,5,4,8
E00072816,19,22,20,13,15,6,14,10,23,16,22,23,30,34,21,13,12,12
E00072817,15,19,20,14,24,15,13,13,24,26,27,15,15,11,11,12,11,3
E00072818,4,11,21,25,21,21,19,16,16,27,20,21,20,17,17,9,7,10
E00072819,17,21,29,14,14,13,23,16,25,27,25,22,20,16,13,9,9,3
E00072820,7,21,24,23,15,8,8,9,17,24,30,31,25,17,12,15,8,9
E00072821,8,13,21,20,13,7,12,10,17,22,27,27,14,17,23,12,17,11
E00072822,9,15,17,25,15,7,11,17,17,34,26,22,15,22,24,10,8,7
E00072823,5,14,20,14,11,11,9,8,10,13,13,12,19,15,15,9,7,14
E00072824,11,15,34,29,14,2,9,12,19,31,25,21,30,14,18,27,24,55
E00072825,3,13,20,17,15,21,7,7,14,21,22,20,13,21,15,13,16,22
E00072826,18,29,47,40,43,26,38,36,30,40,46,30,28,28,26,21,12,20
E00072827,19,8,18,29,48,23,16,20,18,23,24,20,22,14,9,13,12,18
E00072828,17,23,27,23,4,14,30,17,26,36,27,23,27,15,19,9,7,4
E00072829,7,18,21,35,30,16,4,4,24,21,35,35,20,24,16,10,4,3
E00072830,10,24,26,16,15,25,36,20,16,19,26,29,24,22,23,6,6,3
E00072831,13,22,12,16,11,12,16,27,15,23,30,26,27,26,21,13,8,12
E00072832,16,24,10,14,24,19,20,7,19,19,33,25,25,15,22,17,20,27
E00072833,48,31,31,27,21,24,40,55,35,40,35,21,15,16,13,18,6,8
E00072834,26,26,26,22,9,6,5,14,26,23,25,36,34,25,33,17,9,5
E00072835,21,10,15,7,5,5,21,21,12,15,16,30,34,30,23,13,15,6
E00072836,7,11,15,10,15,12,9,11,18,14,23,39,30,15,23,12,6,9
E00072837,21,26,29,22,32,30,24,25,28,22,49,46,48,36,30,31,21,11
E00072838,32,29,35,25,24,35,34,33,26,30,35,36,38,23,28,21,15,7
E00072839,19,24,29,31,18,18,19,18,25,34,32,40,20,14,6,3,7,5
E00072840,13,15,16,19,15,18,17,20,23,9,33,26,16,8,16,10,8,3
E00072841,15,27,26,19,26,8,17,25,20,16,29,41,38,17,23,7,7,5
E00072842,23,25,26,21,15,22,21,26,16,28,31,30,22,23,16,22,6,9
E00072844,14,16,8,12,13,14,14,12,12,9,23,31,27,22,34,24,25,16
E00072845,16,15,9,9,8,32,25,13,22,21,26,31,18,12,14,9,4,7
