msoa,staff/owner,staff/owner's relative,temporary/visiting
E02000110,0,0,2
E02000111,2,0,29
E02000112,0,0,0
E02000113,0,0,0
E02000114,0,0,0
E02000115,3,0,3
E02000116,0,0,6
E02000117,0,0,0
E02000118,0,0,0
E02000119,2,0,13
E02000120,0,0,0
E02000121,0,0,0
E02000122,0,0,2
E02000123,1,0,1
E02000124,0,0,0
E02000125,0,0,0
E02000126,0,0,0
E02000127,0,0,0
E02000128,3,1,0
E02000130,0,0,0
E02000131,0,0,0
E02000132,0,0,3
E02000133,2,0,5
E02000134,0,1,11
E02000135,0,0,0
E02000136,13,1,2
E02000137,0,0,1
E02000138,0,0,0
E02000139,0,0,10
E02000140,0,1,0
E02000141,1,0,0
E02000142,3,1,0
E02000144,0,0,15
E02000145,2,0,0
E02000146,0,0,0
E02000147,0,0,0
E02000148,1,0,0
E02000149,0,0,0
E02000150,0,0,14
E02000151,0,0,0
E02000152,0,0,0
E02000153,0,0,0
E02000154,0,0,0
E02000155,0,0,0
E02000156,0,0,0
E02000157,0,0,0
E02000158,0,0,0
E02000159,0,0,0
E02000160,1,0,0
E02000161,0,0,0
E02000162,0,0,0
E02000163,0,0,0
E02000165,0,0,0
E02000166,1,0,0
E02000167,2,0,8
E02000168,0,3,2
E02000169,0,0,4
E02000170,0,0,3
E02000171,2,0,8
E02000172,4,4,81
E02000173,9,0,3
E02000174,0,0,3
E02000175,0,0,32
E02000176,28,0,5
E02000177,0,1,7
E02000178,0,0,2
E02000179,2,0,2
E02000180,0,0,0
E02000181,1,0,0
E02000182,0,0,0
E02000183,0,0,0
E02000184,2,0,16
E02000185,0,0,0
E02000186,2,6,12
E02000187,0,0,6
E02000188,2,0,7
E02000191,21,0,18
E02000192,0,0,3
E02000193,4,0,16
E02000194,2,5,8
E02000195,0,0,0
E02000196,0,0,4
E02000197,0,0,0
E02000198,0,0,0
E02000199,0,0,0
E02000200,0,0,0
E02000201,0,0,0
E02000202,0,0,1
E02000203,0,1,10
E02000204,1,0,31
E02000206,1,1,2
E02000207,0,0,0
E02000208,8,0,11
E02000209,0,0,0
E02000210,0,0,1
E02000211,0,0,0
E02000212,0,0,4
E02000213,0,0,2
E02000214,0,0,0
E02000215,0,1,1
E02000216,2,1,0
E02000217,0,0,4
E02000218,0,0,0
E02000219,0,0,0
E02000221,2,4,3
E02000222,0,0,0
E02000223,0,0,0
E02000224,4,0,0
E02000225,0,0,0
E02000226,24,5,3
E02000227,0,0,0
E02000228,0,2,0
E02000229,0,0,0
E02000230,1,0,0
E02000231,0,1,0
E02000232,2,0,0
E02000233,0,0,0
E02000234,2,0,0
E02000235,0,0,0
E02000236,0,0,0
E02000237,0,0,0
E02000238,0,0,0
E02000239,0,0,0
E02000240,0,0,0
E02000241,0,0,0
E02000242,0,0,0
E02000243,0,0,0
E02000244,0,0,0
E02000245,0,0,2
E02000246,0,0,0
E02000247,0,0,5
E02000248,0,0,0
E02000249,0,2,0
E02000250,0,0,0
E02000251,0,0,0
E02000252,4,0,25
E02000253,0,0,2
E02000254,20,0,0
E02000255,0,4,0
E02000256,0,0,0
E02000258,0,0,1
E02000259,0,0,0
E02000260,0,2,16
E02000261,2,0,0
E02000262,1,0,0
E02000263,0,0,1
E02000264,6,3,0
E02000265,0,0,75
E02000266,2,0,8
E02000267,0,2,6
E02000268,0,0,5
E02000269,13,0,0
E02000270,0,0,0
E02000271,0,0,2
E02000272,0,0,0
E02000275,5,0,4
E02000276,0,0,2
E02000277,0,0,0
E02000278,0,0,0
E02000279,4,0,0
E02000280,0,0,2
E02000281,0,0,0
E02000282,0,0,0
E02000283,0,1,0
E02000284,0,0,0
E02000285,0,0,0
E02000286,1,0,0
E02000287,0,2,0
E02000288,0,0,1
E02000289,0,0,0
E02000290,0,0,0
E02000291,1,0,0
E02000292,0,0,0
E02000293,0,0,0
E02000294,0,0,0
E02000295,0,0,2
E02000296,0,0,0
E02000297,0,0,0
E02000298,3,0,0
E02000299,0,0,7
E02000300,0,0,15
E02000301,0,4,4
E02000302,0,0,0
E02000303,0,0,0
E02000304,0,0,0
E02000305,2,0,0
E02000306,0,0,2
E02000307,0,0,0
E02000308,0,0,0
E02000309,0,0,0
E02000311,0,0,0
E02000312,0,0,0
E02000313,0,0,0
E02000314,11,15,80
E02000315,0,0,0
E02000317,0,0,0
E02000318,0,0,2
E02000319,0,0,0
E02000320,0,0,1
E02000321,0,0,0
E02000323,1,0,0
E02000324,0,0,0
E02000326,0,2,0
E02000327,5,4,4
E02000328,0,0,0
E02000329,0,0,0
E02000331,0,0,0
E02000332,0,0,3
E02000333,0,0,0
E02000334,0,0,0
E02000335,0,0,0
E02000337,0,0,0
E02000339,0,0,0
E02000340,2,0,0
E02000341,0,0,0
E02000342,0,2,21
E02000343,0,0,0
E02000344,0,0,0
E02000345,0,0,0
E02000346,0,0,1
E02000347,0,3,0
E02000348,0,0,0
E02000350,0,0,0
E02000351,4,0,20
E02000352,0,0,0
E02000353,0,0,0
E02000354,0,0,0
E02000355,0,0,0
E02000356,0,0,0
E02000357,0,0,0
E02000358,1,1,0
E02000359,2,0,0
E02000360,0,0,0
E02000361,0,0,0
E02000362,1,0,6
E02000363,20,17,65
E02000364,0,0,0
E02000366,0,0,0
E02000367,6,2,9
E02000368,0,0,0
E02000369,0,0,0
E02000370,2,0,0
E02000372,3,19,62
E02000373,0,0,0
E02000374,0,0,9
E02000375,0,0,16
E02000376,0,0,0
E02000377,4,0,4
E02000378,2,1,3
E02000379,0,0,1
E02000380,0,0,0
E02000381,0,0,17
E02000382,0,0,22
E02000383,1,14,6
E02000384,1,0,8
E02000385,0,0,0
E02000386,2,1,11
E02000387,1,0,7
E02000388,2,0,0
E02000389,0,0,1
E02000390,0,0,0
E02000391,8,1,1
E02000392,0,1,1
E02000393,0,0,0
E02000394,0,0,1
E02000395,0,0,0
E02000396,0,0,0
E02000397,0,0,0
E02000398,0,0,0
E02000400,0,0,0
E02000401,0,0,0
E02000402,0,0,0
E02000403,0,0,0
E02000404,0,0,0
E02000405,0,0,0
E02000406,0,0,0
E02000407,0,0,1
E02000408,2,0,9
E02000409,0,0,0
E02000410,0,0,2
E02000411,0,0,20
E02000412,0,0,3
E02000413,0,1,27
E02000414,0,0,0
E02000415,2,0,0
E02000416,0,0,0
E02000417,0,11,0
E02000418,0,0,0
E02000419,0,0,0
E02000420,0,0,0
E02000421,0,0,6
E02000422,0,0,0
E02000423,0,0,0
E02000424,0,0,10
E02000425,0,0,0
E02000426,0,0,0
E02000427,0,0,0
E02000428,0,0,4
E02000429,0,0,0
E02000430,0,1,0
E02000431,0,0,0
E02000432,0,0,0
E02000433,2,1,1
E02000434,0,0,0
E02000435,0,1,1
E02000436,11,0,0
E02000437,22,6,0
E02000438,1,0,0
E02000439,0,0,0
E02000440,0,0,0
E02000441,0,0,0
E02000442,0,0,0
E02000443,0,0,0
E02000444,0,0,0
E02000445,0,0,4
E02000447,0,0,0
E02000448,0,0,0
E02000449,0,2,0
E02000451,0,0,0
E02000452,0,0,17
E02000453,0,0,0
E02000454,0,0,0
E02000455,0,1,2
E02000456,0,0,0
E02000457,0,0,0
E02000459,0,0,0
E02000460,0,0,0
E02000461,1,0,14
E02000462,0,0,0
E02000463,0,0,0
E02000464,0,0,0
E02000465,0,0,0
E02000466,8,0,0
E02000467,0,0,0
E02000468,0,0,0
E02000469,0,0,0
E02000470,0,0,0
E02000471,0,0,0
E02000472,0,0,1
E02000473,2,0,0
E02000474,0,0,0
E02000475,0,0,1
E02000476,0,0,3
E02000477,0,0,0
E02000478,2,0,0
E02000479,0,0,0
E02000480,0,0,1
E02000481,0,1,0
E02000482,0,0,0
E02000483,0,0,0
E02000484,0,0,0
E02000485,0,0,0
E02000486,0,0,2
E02000487,0,1,0
E02000488,0,0,0
E02000489,0,0,0
E02000490,0,0,0
E02000491,0,0,0
E02000492,0,2,0
E02000493,0,0,0
E02000494,21,5,1
E02000495,2,4,0
E02000496,22,0,6
E02000497,0,1,3
E02000498,0,0,0
E02000499,0,0,0
E02000500,0,0,1
E02000501,0,0,0
E02000502,2,2,0
E02000503,0,0,0
E02000504,0,0,0
E02000506,0,1,3
E02000507,0,0,0
E02000508,3,0,14
E02000509,2,0,22
E02000510,7,3,6
E02000511,0,0,0
E02000512,0,0,0
E02000513,0,0,0
E02000514,0,0,0
E02000515,0,0,0
E02000516,0,0,0
E02000517,0,11,0
E02000518,0,0,0
E02000519,0,0,0
E02000520,5,0,10
E02000521,0,0,9
E02000522,2,2,11
E02000523,0,0,2
E02000524,12,1,15
E02000525,0,0,5
E02000526,4,0,69
E02000529,0,0,0
E02000530,0,0,0
E02000531,2,0,2
E02000532,0,0,0
E02000533,0,0,0
E02000534,1,0,44
E02000535,0,0,4
E02000536,1,0,14
E02000537,0,0,0
E02000538,0,0,4
E02000539,0,0,2
E02000540,4,0,8
E02000541,0,0,17
E02000542,6,0,26
E02000543,0,0,24
E02000544,0,0,0
E02000545,1,0,1
E02000546,0,0,0
E02000547,0,0,1
E02000548,0,0,0
E02000549,8,0,86
E02000550,1,0,0
E02000551,0,0,0
E02000552,0,2,5
E02000553,0,0,0
E02000554,0,0,1
