Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-7527933423,2019-11-04,Y,Oak Park Care Home,Yorkshire and The Humber,Kirklees,Walnut Lane,Dewsbury,WF12 8NJ,53.685481,-1.603612,Dewsbury,"Goldstein, Alan",,,Y,,Y,,Y,Y,Y,Y,Y,3,3,E08000034,E02002288,E00178684,66,52.0,79.0,0.89311,7.0,10.6061,0.03497
1-7528708665,2019-11-04,Y,Sycamore Park Care Home,Yorkshire and The Humber,Kirklees,Alandale Road,Huddersfield,HD2 1QE,53.681908,-1.755739,Huddersfield,"Goldstein, Alan",,,Y,,Y,,Y,Y,Y,Y,Y,3,3,E08000034,E02002292,E00055944,46,41.0,88.0,0.95856,4.0,7.6345,0.03656
1-8532367129,2020-05-18,Y,The Radcliffe,Yorkshire and The Humber,Kirklees,444 Huddersfield Road,Mirfield,WF14 0EE,53.682541,-1.716704,Dewsbury,"Hussain, Muddasser",,,Y,,Y,,,Y,Y,Y,Y,2,2,E08000034,E02002291,E00056504,34,30.0,88.0,0.96038,4.0,12.4784,0.03841
1-8783204217,2020-04-29,Y,Serene Residential Care Limited,Yorkshire and The Humber,Kirklees,14 Quarry Road,Dewsbury,WF13 2RZ,53.686426,-1.643361,Dewsbury,"Ali, Lubna",,,Y,,Y,,,Y,Y,Y,,0,0,E08000034,E02002289,E00056124,35,15.0,42.281918371765734,,,,
1-8808824529,2020-06-01,Y,Botham Hall,Yorkshire and The Humber,Kirklees,Botham Hall Road,Huddersfield,HD3 4RJ,53.641598,-1.836062,Colne Valley,"Cunningham, Amanda",,,Y,,Y,,,Y,,,,1,1,E08000034,E02002311,E00056177,40,37.0,92.0,0.96113,,,
1-9345108120,2020-08-08,Y,Crescent Dale,Yorkshire and The Humber,Kirklees,2 Nunroyd,Heckmondwike,WF16 9HB,53.714126,-1.674279,Batley and Spen,"Cross, Michelle",,,Y,,,Y,,,,,,0,0,E08000034,E02002281,E00056233,8,4.0,51.89632762742356,,,,
1-940312853,2013-09-30,Y,Linson Court,Yorkshire and The Humber,Kirklees,Dark Lane,Batley,WF17 5RU,53.710977,-1.638851,Batley and Spen,"Lee, Lorraine",Y,Y,,,Y,,,Y,Y,,,3,3,E08000034,E02002280,E00055540,40,31.0,78.0,0.96439,5.0,12.829,0.0249
1-940403627,2013-09-30,Y,Manorcroft,Yorkshire and The Humber,Kirklees,Old Bank Road,Dewsbury,WF12 7AH,53.69102,-1.617473,Dewsbury,"Lee, Lorraine",Y,Y,,,Y,,,Y,Y,,,6,6,E08000034,E02002288,E00056064,40,31.0,78.0,0.92882,6.0,14.9164,0.03116
1-9486503484,2020-09-25,Y,Lyndhurst,Yorkshire and The Humber,Kirklees,5 Carlton Road,Liversedge,WF15 7DG,53.70595,-1.692763,Batley and Spen,"Amri, Sharron",,,Y,Y,,,Y,,,,Y,2,2,E08000034,E02002285,E00178647,5,4.0,80.0,0.90252,1.0,28.2843,0.13519
1-9486503686,2020-09-25,Y,Woodside,Yorkshire and The Humber,Kirklees,33 Woodside Lane,Huddersfield,HD2 2HA,53.675387,-1.781087,Huddersfield,"Amri, Sharron",,,Y,Y,,,Y,,,,Y,1,1,E08000034,E02002292,E00055637,5,5.0,100.0,0.69738,,,
1-9639677424,2020-10-02,Y,Valley View Care Home,Yorkshire and The Humber,Kirklees,36 Wakefield Road,Huddersfield,HD8 0BG,53.64337,-1.727963,Huddersfield,"Sarwar, Qaiser",,,Y,,Y,,Y,Y,,,Y,2,2,E08000034,E02002302,E00056395,59,50.0,85.0,0.94375,7.0,11.9849,0.01585
1-9895390789,2020-12-10,Y,Gledholt Mews & Coach House,Yorkshire and The Humber,Kirklees,34 Greenhead Road,Huddersfield,HD1 4EZ,53.646321,-1.797317,Huddersfield,"Cunningham, Barnaby",Y,Y,,,,,Y,Y,,,Y,1,1,E08000034,E02002309,E00056606,21,9.0,43.0,0.99599,,,
1-109574569,2010-11-19,Y,Ashcroft House - Leeds,Yorkshire and The Humber,Leeds,18 Leeds Road,Leeds,LS16 9BQ,53.884503,-1.616653,Leeds North West,"Mitchell, Peter",,,Y,,,,,Y,,,,3,3,E08000035,E02002336,E00058321,32,27.0,83.0,0.97,2.0,4.7735,0.0075
1-110212919,2010-12-02,Y,House of Light,Yorkshire and The Humber,Leeds,13 Allerton Park,Leeds,LS7 4ND,53.830613,-1.531058,Leeds North East,"Hill, Carol",,,Y,,,Y,,,,,,1,1,E08000035,E02002363,E00057228,6,6.0,100.0,0.99811,,,
1-110993039,2011-01-11,Y,Adel Grange Residential Home,Yorkshire and The Humber,Leeds,Adel Grange Close,Leeds,LS16 8HX,53.845962,-1.584099,Leeds North West,"Flynn, Christian",,,Y,,Y,,,,,,,5,5,E08000035,E02002345,E00057406,30,26.0,87.0,0.85511,2.0,6.4118,0.06766
1-111200339,2011-01-07,Y,Morley Manor Residential Home,Yorkshire and The Humber,Leeds,Brunswick Street,Leeds,LS27 9DL,53.749445,-1.604068,Morley and Outwood,"Ahmed, Shabir",,,Y,,Y,,,Y,,,,2,2,E08000035,E02002424,E00058125,33,19.0,58.0,0.75243,6.0,17.142,0.02386
