msoa,staff/owner,staff/owner's relative,temporary/visiting
E02002292,0,0,0
E02002293,0,0,0
E02002294,1,3,0
E02002295,0,0,4
E02002296,0,0,0
E02002297,0,0,0
E02002298,0,0,1
E02002299,0,0,14
E02002300,0,0,0
E02002301,0,0,0
E02002302,0,0,0
E02002303,0,0,1
E02002304,0,1,21
E02002305,0,0,0
E02002306,0,0,0
E02002307,0,0,3
E02002308,0,0,0
E02002309,0,0,6
E02002310,0,0,0
E02002311,0,0,0
E02002312,0,0,23
E02002313,0,0,0
E02002314,0,0,0
E02002315,0,0,0
E02002316,0,0,0
E02002317,0,0,0
E02002318,0,0,2
E02002319,0,0,0
E02002320,0,0,0
E02002321,0,0,3
E02002322,0,0,0
E02002323,0,0,0
E02002324,0,0,0
E02002325,1,0,0
E02002326,0,0,0
E02002327,0,0,0
E02002328,0,0,0
E02002329,0,0,0
E02002330,0,0,0
E02002331,4,4,75
E02002332,0,0,0
E02002333,0,0,2
E02002334,0,0,0
E02002335,0,0,0
E02002336,1,0,1
E02002337,0,0,0
E02002338,0,2,0
E02002339,0,0,0
E02002340,0,0,0
E02002341,0,0,0
E02002342,0,0,0
E02002343,0,0,5
E02002344,0,0,0
E02002345,0,0,47
E02002346,0,0,0
E02002347,0,0,4
E02002348,0,0,0
E02002349,0,0,0
E02002350,4,0,7
E02002351,0,0,0
E02002352,0,0,0
E02002353,0,0,0
E02002354,0,0,0
E02002356,10,0,2
E02002357,0,0,0
E02002358,0,0,2
E02002359,0,0,0
E02002360,0,0,0
E02002361,2,0,0
E02002362,0,0,0
E02002363,0,1,0
E02002364,0,1,1
E02002366,5,0,0
E02002367,0,0,0
E02002368,0,0,0
E02002369,0,0,0
E02002370,0,0,0
E02002371,2,0,0
E02002373,2,0,3
E02002374,0,0,0
E02002375,0,0,0
E02002376,1,1,1
E02002377,0,0,0
E02002379,0,0,0
E02002380,0,0,0
E02002381,0,0,0
E02002382,0,0,0
E02002383,0,0,1
E02002384,5,0,15
E02002385,0,0,4
E02002386,0,0,0
