msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02005414,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
E02005415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005417,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
E02005418,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5
E02005419,2,0,0,2,0,0,2,0,0,0,0,0,0,0,3,4,13
E02005420,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E02005423,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005424,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
E02005425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02005426,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,9
E02005427,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
E02005428,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17
E02005429,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9
E02005430,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005431,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
E02005432,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10
E02005433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
E02005434,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
E02005435,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,12
E02005436,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
E02005437,1,9,0,1,0,0,0,0,0,0,0,0,0,0,17,72,100
E02005438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02005439,1,6,0,0,0,0,2,0,0,0,0,1,0,0,6,5,21
E02005440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02005441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005442,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02005443,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02005444,0,3,0,1,0,2,1,0,1,0,0,8,0,0,3,9,28
E02005445,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8
E02005446,1,1,0,0,0,0,1,0,0,0,0,14,0,0,1,10,28
E02005447,3,3,0,0,0,0,0,0,0,0,0,3,0,0,1,1,11
E02005448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005449,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,13
E02005450,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02005451,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02005452,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02005453,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005455,3,4,1,0,0,0,0,0,0,0,0,1,1,0,0,4,14
E02005456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
