msoa,staff/owner,staff/owner's relative,temporary/visiting
E02003495,0,0,0
E02003496,0,0,0
E02003497,0,1,0
E02003498,0,0,0
E02003499,0,4,0
E02003500,1,0,0
E02003501,0,0,0
E02003502,0,0,4
E02003503,0,0,2
E02003504,0,0,0
E02003505,0,0,2
E02003506,0,0,0
E02003507,0,0,14
E02003508,0,0,5
E02003509,0,0,1
E02003510,2,1,3
E02003511,0,1,1
E02003512,2,0,1
E02003513,7,0,0
E02003514,0,1,5
E02003515,0,0,10
E02003516,0,0,0
E02003517,3,0,29
E02003518,6,0,33
E02003519,0,0,44
E02003520,19,6,15
E02003521,25,3,8
E02003522,20,0,1
E02003523,4,0,0
E02003524,0,0,0
E02003525,1,0,3
E02003526,0,1,0
E02003527,0,0,0
E02003529,0,0,0
E02003530,0,0,2
E02003531,0,0,0
E02003532,4,0,0
E02003533,0,0,1
E02003534,0,0,0
E02003535,0,0,0
E02003536,0,0,4
E02003537,0,0,1
E02003538,0,0,0
E02003540,0,0,0
E02003541,1,1,20
E02003542,0,0,0
E02003543,0,0,0
E02003544,0,0,0
E02003545,10,2,2
E02003546,0,0,0
E02003547,10,1,3
E02003548,0,0,0
E02003549,0,0,9
E02003550,5,0,1
E02003551,0,0,12
E02003552,0,0,0
E02003553,0,0,4
E02003554,1,0,0
E02003555,0,0,0
E02003556,0,0,0
E02003557,0,0,0
E02003558,8,0,2
E02003559,0,0,0
E02003560,0,0,0
E02003561,0,0,4
E02003562,0,0,0
E02003563,2,0,4
E02003564,0,0,0
E02003565,1,0,6
E02003566,0,0,0
E02003567,0,0,3
E02003568,8,0,11
E02003569,0,0,0
E02003570,0,2,17
E02003571,5,5,28
E02003572,0,0,0
E02003573,0,0,0
E02003574,0,0,0
E02003575,0,0,0
E02003576,0,0,0
E02003578,0,0,2
E02003579,0,0,2
E02003580,0,0,0
E02003581,2,0,0
E02003582,0,0,0
E02003583,1,0,0
E02003584,8,0,1
E02003585,0,0,1
E02003586,0,0,0
E02003587,8,3,0
E02003588,8,6,21
E02003589,0,0,3
E02003590,0,0,0
E02003591,2,2,1
E02003592,4,0,1
E02003593,1,0,2
E02003594,27,17,19
E02003595,0,0,0
E02003596,109,69,2
E02003597,1,0,5
E02003598,2,3,1
E02003652,61,6,8
E02003653,2,0,2
E02003654,0,0,0
E02003655,6,1,0
E02003656,1,0,0
E02003657,4,3,0
E02003658,0,0,0
E02003659,0,0,0
E02003660,0,0,0
E02003661,1,0,14
E02003662,0,0,4
E02003663,0,0,0
E02003664,0,0,1
E02003665,0,0,0
E02003666,2,0,0
E02003667,0,0,0
E02003668,0,0,0
E02003669,0,0,0
E02003670,0,0,0
E02003671,0,0,0
E02003672,1,1,0
E02003673,11,0,0
E02003674,0,0,0
E02003675,9,0,55
E02003676,0,4,0
E02003677,0,1,0
E02003678,2,3,0
E02003679,0,0,0
E02003680,0,0,0
E02003681,0,0,0
E02003682,0,0,1
E02003683,0,0,0
E02003685,1,0,0
E02003686,1,0,0
E02003687,0,0,0
E02003688,17,3,0
E02003689,0,0,1
E02003690,3,0,0
E02003691,8,90,0
E02003692,4,0,1
E02003693,0,3,0
E02003694,0,1,0
E02003695,10,0,0
E02003696,0,0,0
E02003697,0,0,0
E02003698,0,0,0
E02003699,0,0,0
E02003701,0,0,2
E02003702,2,0,3
E02003703,7,0,4
E02003704,0,0,0
E02003705,0,0,0
E02003706,0,0,0
E02003707,0,0,0
E02003708,0,0,0
E02003709,0,0,0
E02003710,28,5,16
E02003711,0,0,0
E02003712,0,1,0
E02003713,0,0,0
E02003714,0,0,1
E02003715,0,0,0
E02003716,0,0,1
E02003717,0,0,0
E02003718,2,1,0
E02004356,0,0,0
E02004357,0,0,0
E02004358,1,0,0
E02004359,0,0,0
E02004361,0,0,0
E02004362,7,0,1
E02004363,7,0,2
E02004364,0,0,0
E02004365,23,3,32
E02004366,59,6,44
E02004367,12,5,1
E02004368,0,0,3
E02004369,1,0,0
E02004370,0,0,0
E02004371,0,0,0
E02004372,0,0,0
E02004373,0,0,0
E02004374,0,0,0
E02004375,0,0,5
E02004376,4,0,7
E02004377,2,0,5
E02004378,8,9,3
E02004379,4,1,0
E02004380,1,1,0
E02004381,0,0,0
E02004382,7,3,3
E02004383,0,2,19
E02004384,0,2,0
E02004385,0,0,0
E02004386,0,0,1
E02004387,0,0,0
E02004388,0,0,0
E02004389,0,2,2
E02004390,0,0,0
E02004391,0,0,0
E02004392,2,0,2
E02004393,5,0,0
E02004394,0,0,0
E02004395,3,1,0
E02004396,14,0,7
E02004397,1,0,0
E02004398,0,0,0
E02004399,0,0,0
E02004400,2,0,0
E02004401,0,3,0
E02004402,0,0,1
E02004403,4,1,0
E02004404,0,0,0
E02004405,0,0,0
E02004406,12,1,0
E02004407,16,0,4
E02004408,1,0,6
E02004409,40,3,1
E02004410,3,1,0
E02004411,0,0,0
E02004412,0,0,0
E02004413,8,2,0
E02004414,0,1,0
E02004415,4,0,0
E02004416,9,0,0
E02004417,0,0,0
E02004418,12,0,0
E02004419,0,0,0
E02004420,24,8,3
E02004421,1,0,0
E02004422,1,0,0
E02004423,0,0,0
E02004675,0,0,0
E02004676,1,0,0
