msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02003502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5
E02003503,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5
E02003504,1,2,0,0,0,2,0,0,0,0,0,0,0,0,4,1,10
E02003505,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
E02003506,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003507,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
E02003508,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
E02003509,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
E02003510,1,7,0,0,0,1,0,1,0,0,0,3,0,0,1,1,15
E02003511,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6
E02003512,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
E02003513,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E02003514,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,10
E02003515,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
E02003517,0,0,0,0,0,0,0,1,0,0,0,4,0,0,6,24,35
E02003518,2,12,0,0,0,2,0,0,0,0,0,1,0,0,3,7,27
E02003519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,29
E02003520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,38,50
E02003521,2,5,0,1,0,0,0,0,1,0,0,3,0,0,2,10,24
E02003522,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5
E02003523,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
E02003524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003525,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,2,8
E02003526,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003527,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
E02003529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003530,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003533,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
E02003534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5
E02003537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
E02003538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02003540,0,3,1,0,0,0,0,2,0,0,0,1,0,0,1,1,9
E02003541,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,8
E02003542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003543,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
E02003544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003545,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
E02003546,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9
E02003547,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,9,16
E02003548,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,12,21
E02003549,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16
E02003550,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5
E02003551,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,8
E02003552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003553,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
E02003554,2,4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,10
E02003555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003557,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4
E02003558,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,2,7
E02003559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003561,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
E02003562,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02003564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003565,1,4,0,0,0,0,1,0,0,0,0,1,0,0,1,2,10
E02003566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02003568,1,2,0,0,0,0,0,0,1,0,0,2,0,0,2,13,21
E02003569,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7
E02003570,0,0,2,1,0,1,0,0,0,0,0,4,0,0,0,4,12
E02003571,2,0,0,0,0,0,0,0,0,0,0,11,0,0,6,15,34
E02003572,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02003573,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003576,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003579,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
E02003580,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003581,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13
E02003582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02003583,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
E02003584,1,6,0,0,2,0,0,0,0,0,0,1,0,0,5,9,24
E02003585,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5
E02003586,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14
E02003587,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12
E02003588,3,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,12
E02003589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
E02003590,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,12
E02003591,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,8
E02003592,5,8,1,0,0,0,0,0,0,0,0,0,0,0,3,8,25
E02003593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5
E02003594,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9,36,54
