Middle layer Super Output Areas Code,other,bisexual,homosexual,unknown,heterosexual,total,heterosexual percentage,homosexual percentage,bisexual percentage,other percentage,unknown percentage
E02000042,136,99,136,1011,8025,9271,86.56024161363392,1.4669399201812103,1.067845971308381,1.4669399201812103,10.904972494876496
E02000043,18,51,98,542,5182,5873,88.23429252511494,1.66865315852205,0.8683807253533118,0.3064873148305806,9.228673591009704
E02000044,51,54,45,666,6059,6824,88.78956623681125,0.6594372801875733,0.7913247362250878,0.7473622508792497,9.759671746776084
E02000045,46,86,105,829,7218,8238,87.61835396941005,1.2745812090313182,1.043942704539937,0.5583879582422918,10.063122117018693
E02000046,31,107,115,553,4894,5669,86.32915858176045,2.028576468512965,1.8874581054859765,0.546833656729582,9.754806844240607
E02000047,72,71,84,1167,8187,9509,86.09738142812073,0.8833736460195604,0.7466610579451046,0.757177410873909,12.272583867914607
E02000048,51,61,79,736,7160,8036,89.09905425584869,0.9830761572921851,0.7590841214534594,0.6346441015430563,9.158785465405675
E02000049,40,80,66,864,6969,7979,87.34177215189874,0.8271713247274095,1.0026319087604965,0.5013159543802482,10.828424614613361
E02000050,34,109,142,678,7400,8329,88.84620002401249,1.7048865410013208,1.308680513867211,0.40821227038059793,8.140232921118983
E02000051,36,112,86,709,6548,7455,87.8336686787391,1.153588195841717,1.5023474178403755,0.482897384305835,9.510395707578805
E02000052,43,168,202,659,6901,7930,87.02395964691047,2.5472887767969734,2.1185372005044134,0.5422446406052964,8.310214375788147
E02000054,39,84,129,697,5272,6182,85.2798447104497,2.0867033322549338,1.3587835651892592,0.6308637981235846,11.274668392106115
E02000055,61,141,139,1005,8150,9435,86.38049814520403,1.4732379438261791,1.494435612082671,0.6465288818229995,10.651828298887123
E02000056,18,60,89,623,6411,7183,89.25240150355005,1.2390366142280385,0.8353055826256438,0.2505916747876932,8.673256299596268
E02000057,24,50,52,756,5052,5910,85.48223350253808,0.8798646362098138,0.8460236886632826,0.40609137055837563,12.791878172588833
E02000058,40,93,102,1048,6677,7920,84.30555555555556,1.2878787878787878,1.174242424242424,0.5050505050505051,13.232323232323232
E02000059,71,109,148,1000,8294,9551,86.83907444246675,1.5495759606323944,1.1412417547900744,0.743377656789865,10.470107842110773
E02000060,39,56,81,1352,6470,7959,81.29161955019475,1.0177157934413872,0.7036059806508356,0.4900113079532605,16.98705867571303
E02000061,26,182,119,787,5773,6861,84.14225331584318,1.7344410435796531,2.6526745372394696,0.3789535053199242,11.470631103337706
E02000062,27,60,79,566,4732,5437,87.03329041750966,1.453007173073386,1.103549751701306,0.49659738826558764,10.410152657715651
E02000063,32,44,70,704,5236,6054,86.48827221671623,1.1562603237528906,0.7267922035018171,0.5285761480013214,11.628675256029073
E02000064,31,73,141,495,4595,5304,86.63273001508296,2.658371040723982,1.3763197586726998,0.5844645550527904,9.332579185520363
E02000065,20,50,42,487,5342,5921,90.22124641107922,0.7093396385745651,0.844451950684006,0.3377807802736024,8.22496199966222
E02000066,27,101,82,638,6403,7224,88.63510520487264,1.1351052048726467,1.3981173864894796,0.37375415282392027,8.831672203765226
E02000067,15,100,132,649,7010,7891,88.8353820808516,1.6727917881130403,1.2672665061462425,0.19008997592193638,8.224559624889114
E02000068,24,60,108,425,5412,6005,90.12489592006662,1.7985012489592007,0.9991673605328892,0.3996669442131557,7.077435470441299
E02000069,14,53,65,462,5078,5658,89.74902792506187,1.148815835984447,0.9367267585719337,0.24743725698126548,8.16542948038176
E02000070,13,35,69,459,5978,6541,91.39275340162055,1.0548845742241246,0.5350863782296285,0.19874636905671916,7.017275645925699
E02000071,17,36,50,426,5457,5969,91.42234880214441,0.8376612497905846,0.603116099849221,0.28480482492879877,7.136873848215782
E02000072,34,80,78,691,8605,9454,91.01967421197376,0.8250475988999365,0.8462026655383965,0.35963613285381846,7.309075523587899
E02000073,18,40,65,579,8000,8684,92.1234454168586,0.7485029940119761,0.4606172270842929,0.20727775218793185,6.667434362045141
E02000074,10,79,84,424,6267,6854,91.43565800992121,1.225561715786402,1.152611613656259,0.14590020426028597,6.186168660636125
E02000075,8,47,50,425,6073,6595,92.08491281273692,0.7581501137225171,0.7126611068991661,0.12130401819560274,6.444275966641396
E02000077,23,42,49,471,5986,6548,91.41722663408675,0.7483200977397679,0.6414172266340867,0.3512522907758094,7.193036041539401
E02000078,11,33,57,372,5921,6383,92.76202412658624,0.8929970233432555,0.5169982766724112,0.17233275889080368,5.827980573398088
E02000079,14,61,77,533,6412,7083,90.52661301708315,1.087109981646195,0.8612169984469857,0.1976563602993082,7.525060002823662
E02000080,11,63,79,573,7361,8076,91.14660723130262,0.9782070331847449,0.7800891530460624,0.13620604259534422,7.095096582466567
E02000081,16,49,68,456,6028,6601,91.31949704590212,1.0301469474322071,0.7423117709437964,0.2423875170428723,6.908044235721861
E02000082,19,31,60,481,6865,7437,92.30872663708485,0.8067769261799113,0.41683474519295416,0.2554793599569719,6.467661691542288
E02000083,21,71,96,582,8114,8863,91.54913686110797,1.083154688028884,0.8010831546880289,0.2369400880063184,6.56662529617511
E02000084,14,50,67,632,8165,8914,91.59748709894548,0.7516266547004712,0.5609154139555755,0.15705631590756114,7.089970832398475
E02000085,24,47,62,402,5846,6357,91.96161711499134,0.9753028157936133,0.7393424571338683,0.37753657385559225,6.323737612081171
E02000086,10,49,42,338,5413,5842,92.65662444368367,0.7189318726463539,0.8387538514207463,0.17117425539198905,5.78568983224923
E02000087,9,48,64,398,6205,6715,92.40506329113924,0.953090096798213,0.7148175725986596,0.13402829486224868,5.9270290394638865
E02000088,15,49,70,364,5774,6257,92.28064567684193,1.118747003356241,0.7831229023493687,0.2397315007191945,5.817484417452453
E02000089,20,38,49,376,5870,6333,92.68908889941576,0.7737249328912048,0.6000315806095058,0.31580609505763463,5.937154587083531
E02000090,53,122,178,647,7110,8057,88.24624550080675,2.2092590294154153,1.5142112448802285,0.6578130817922303,8.030284224897605
E02000091,18,89,100,570,7635,8394,90.9578270192995,1.1913271384322135,1.06028115320467,0.21443888491779842,6.790564689063617
E02000092,6,28,52,368,4837,5285,91.52317880794702,0.9839167455061495,0.5298013245033113,0.11352885525070955,6.9631031220435196
E02000093,92,95,50,1303,8244,9692,85.05984316962443,0.5158893933140735,0.9801898472967396,0.9492364836978952,13.444077589764754
E02000094,54,56,58,975,7318,8407,87.0465088616629,0.6899012727488998,0.6661115736885929,0.6423218746282859,11.597478291899607
E02000095,71,95,47,1136,7245,8523,85.00527983104541,0.5514490202980171,1.1146309984747156,0.8330400093863664,13.328640150181862
E02000096,28,52,29,608,5558,6247,88.97070593885064,0.4642228269569394,0.8323995517848567,0.448215143268769,9.732671682407554
E02000097,66,49,39,959,6644,7691,86.38668573657522,0.5070862046547913,0.63710830841243,0.858145884800416,12.46911975035756
E02000098,39,56,34,921,6105,7116,85.79258010118043,0.47779651489600905,0.7869589657110737,0.5480607082630692,12.94266441821248
E02000099,56,48,37,1045,6356,7486,84.90515629174459,0.4942559444296019,0.6411969008816457,0.7480630510285867,13.959390862944163
E02000100,41,99,53,826,6162,7140,86.30252100840336,0.7422969187675069,1.3865546218487395,0.5742296918767508,11.568627450980392
E02000101,50,52,50,898,6883,7883,87.31447418495497,0.6342762907522517,0.6596473423823418,0.6342762907522517,11.39160218191044
E02000102,37,37,31,837,5284,6189,85.37728227500403,0.5008886734529003,0.597834868314752,0.597834868314752,13.523994183228307
E02000103,36,94,70,897,6756,7817,86.42701803761034,0.8954842011001662,1.2025073557630805,0.4605347319943712,11.474990405526416
E02000104,36,73,38,791,5328,6230,85.52166934189405,0.6099518459069021,1.1717495987158908,0.5778491171749599,12.696629213483146
E02000105,33,100,51,871,6798,7820,86.9309462915601,0.6521739130434783,1.278772378516624,0.421994884910486,11.138107416879796
E02000106,62,73,78,1078,6968,8197,85.00670977186776,0.9515676467000121,0.8905697206294985,0.7563742832743686,13.151152860802734
E02000107,47,125,190,1100,7596,9011,84.29697036954833,2.1085340139829096,1.3871934302519144,0.5215847297747198,12.207302186216847
E02000108,27,48,47,615,5119,5829,87.81952307428375,0.8063132612798078,0.8234688625836336,0.46320123520329387,10.550694801852805
