area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00031927,7,14,26,13,9,10,6,14,23,22,14,22,17,23,27,14,10,14
E00031928,21,26,14,9,10,24,25,15,7,18,13,23,15,12,7,5,7,6
E00031930,8,12,8,11,16,16,17,10,9,15,15,29,31,17,26,20,10,5
E00031931,15,13,8,7,7,4,8,21,16,12,14,13,15,18,29,21,9,6
E00031932,19,25,28,32,19,15,23,21,24,27,29,19,14,9,13,10,5,1
E00031933,14,15,14,16,5,7,12,16,13,19,27,20,15,15,25,30,25,10
E00031934,6,13,16,13,9,7,15,22,13,16,24,16,15,13,24,21,15,10
E00031935,8,14,16,11,10,8,14,15,14,27,24,21,24,17,28,23,13,8
E00031936,23,14,15,15,13,22,21,30,16,14,23,21,16,10,12,16,8,2
E00031937,7,8,8,9,12,6,12,13,4,12,21,17,28,20,23,21,27,9
E00031938,12,9,18,0,19,22,9,18,18,18,19,24,16,20,5,13,16,4
E00031939,12,19,26,27,21,9,11,25,20,37,34,23,34,28,22,22,12,6
E00031940,23,35,25,23,11,18,37,37,27,31,25,26,25,28,36,24,17,16
E00031941,19,11,16,20,31,14,14,21,14,27,30,44,29,23,14,9,2,1
E00031942,8,11,19,8,5,17,15,19,14,14,21,20,22,26,16,13,9,5
E00031943,9,20,23,17,18,16,20,20,26,26,26,28,19,9,13,9,8,0
E00031944,9,7,11,15,14,11,12,12,12,25,26,27,37,26,40,21,11,4
E00031945,5,13,34,29,21,20,14,25,19,25,22,21,27,17,19,2,3,1
E00031946,4,6,11,20,7,10,2,7,11,16,18,12,7,25,23,17,5,6
E00031947,43,26,30,29,36,70,48,39,37,36,29,27,12,27,25,21,10,2
E00031948,19,16,20,16,16,32,28,18,21,26,21,30,21,17,15,14,9,9
E00031949,42,43,32,27,17,53,47,35,42,25,22,35,23,27,30,27,10,4
E00031950,19,19,29,26,24,25,31,28,22,29,45,28,19,16,26,13,3,3
E00031951,19,27,20,17,17,17,24,26,17,15,28,25,13,9,10,12,13,6
E00031952,12,27,21,21,11,11,22,15,17,19,16,24,13,17,23,13,9,9
E00031953,14,12,14,18,9,16,16,8,25,20,26,29,18,21,24,26,12,7
E00031954,8,17,21,25,16,11,15,17,22,23,26,21,19,11,32,14,4,0
E00031955,17,12,18,16,24,26,23,23,22,25,19,11,23,14,12,6,4,3
E00031956,14,12,13,5,9,22,8,11,4,9,13,24,14,18,12,14,16,8
E00031957,19,17,14,27,19,17,17,24,21,23,14,13,17,17,14,5,5,7
E00031958,16,22,23,15,26,24,29,23,15,20,22,21,11,10,9,2,2,6
E00031959,15,25,31,31,25,11,22,28,27,25,20,17,10,16,14,7,2,1
E00031960,20,16,26,21,19,21,19,22,20,14,13,10,15,8,15,3,9,1
E00031961,15,23,9,19,17,24,21,13,10,15,19,16,15,14,8,3,13,20
E00031962,17,21,27,12,23,20,34,18,25,21,26,20,11,6,9,7,1,3
E00031963,22,24,23,23,10,19,27,23,25,15,18,19,15,17,11,4,4,0
E00031964,27,37,28,17,18,30,32,38,27,22,36,29,22,18,3,6,3,0
E00031965,31,29,33,18,25,32,36,21,23,22,25,18,26,9,12,11,6,1
E00031966,15,26,31,20,26,17,30,23,18,27,22,24,18,11,17,7,3,8
E00031967,10,12,11,17,16,23,16,13,16,18,12,20,15,17,18,9,8,7
