area,msoa,lad_code,lad,region,region_code
E00024365,E02001005,E08000001,Bolton,North West,E12000002
E00024366,E02001005,E08000001,Bolton,North West,E12000002
E00024367,E02001012,E08000001,Bolton,North West,E12000002
E00024369,E02001005,E08000001,Bolton,North West,E12000002
E00024370,E02001005,E08000001,Bolton,North West,E12000002
E00024371,E02001005,E08000001,Bolton,North West,E12000002
E00024372,E02001005,E08000001,Bolton,North West,E12000002
E00024373,E02001005,E08000001,Bolton,North West,E12000002
E00024374,E02001005,E08000001,Bolton,North West,E12000002
E00024375,E02001005,E08000001,Bolton,North West,E12000002
E00024376,E02001005,E08000001,Bolton,North West,E12000002
E00024377,E02001005,E08000001,Bolton,North West,E12000002
E00024378,E02001005,E08000001,Bolton,North West,E12000002
E00024379,E02001005,E08000001,Bolton,North West,E12000002
E00024380,E02001005,E08000001,Bolton,North West,E12000002
E00024381,E02001005,E08000001,Bolton,North West,E12000002
E00024383,E02001012,E08000001,Bolton,North West,E12000002
E00024384,E02001005,E08000001,Bolton,North West,E12000002
E00024385,E02001005,E08000001,Bolton,North West,E12000002
E00024386,E02001010,E08000001,Bolton,North West,E12000002
E00024387,E02001005,E08000001,Bolton,North West,E12000002
E00024388,E02001005,E08000001,Bolton,North West,E12000002
E00024389,E02001010,E08000001,Bolton,North West,E12000002
E00024391,E02001010,E08000001,Bolton,North West,E12000002
E00024392,E02001010,E08000001,Bolton,North West,E12000002
E00024394,E02001000,E08000001,Bolton,North West,E12000002
E00024395,E02001000,E08000001,Bolton,North West,E12000002
E00024396,E02001000,E08000001,Bolton,North West,E12000002
E00024397,E02001000,E08000001,Bolton,North West,E12000002
E00024398,E02001000,E08000001,Bolton,North West,E12000002
E00024399,E02001000,E08000001,Bolton,North West,E12000002
E00024400,E02001005,E08000001,Bolton,North West,E12000002
E00024401,E02001000,E08000001,Bolton,North West,E12000002
E00024402,E02001000,E08000001,Bolton,North West,E12000002
E00024403,E02001005,E08000001,Bolton,North West,E12000002
E00024404,E02001000,E08000001,Bolton,North West,E12000002
E00024405,E02000994,E08000001,Bolton,North West,E12000002
E00024406,E02000994,E08000001,Bolton,North West,E12000002
E00024407,E02000999,E08000001,Bolton,North West,E12000002
E00024408,E02000999,E08000001,Bolton,North West,E12000002
E00024409,E02000988,E08000001,Bolton,North West,E12000002
E00024410,E02000994,E08000001,Bolton,North West,E12000002
E00024411,E02000988,E08000001,Bolton,North West,E12000002
E00024412,E02000994,E08000001,Bolton,North West,E12000002
E00024413,E02000994,E08000001,Bolton,North West,E12000002
E00024416,E02000999,E08000001,Bolton,North West,E12000002
E00024417,E02000994,E08000001,Bolton,North West,E12000002
E00024418,E02000994,E08000001,Bolton,North West,E12000002
E00024419,E02000988,E08000001,Bolton,North West,E12000002
E00024420,E02000994,E08000001,Bolton,North West,E12000002
E00024421,E02000994,E08000001,Bolton,North West,E12000002
E00024422,E02000988,E08000001,Bolton,North West,E12000002
E00024423,E02000999,E08000001,Bolton,North West,E12000002
E00024424,E02000994,E08000001,Bolton,North West,E12000002
E00024425,E02000999,E08000001,Bolton,North West,E12000002
E00024426,E02000994,E08000001,Bolton,North West,E12000002
E00024427,E02000994,E08000001,Bolton,North West,E12000002
E00024428,E02000994,E08000001,Bolton,North West,E12000002
E00024429,E02000999,E08000001,Bolton,North West,E12000002
E00024430,E02000994,E08000001,Bolton,North West,E12000002
E00024431,E02000994,E08000001,Bolton,North West,E12000002
E00024432,E02000999,E08000001,Bolton,North West,E12000002
E00024433,E02000999,E08000001,Bolton,North West,E12000002
E00024434,E02000999,E08000001,Bolton,North West,E12000002
E00024435,E02000999,E08000001,Bolton,North West,E12000002
E00024436,E02000999,E08000001,Bolton,North West,E12000002
E00024437,E02000999,E08000001,Bolton,North West,E12000002
E00024438,E02000999,E08000001,Bolton,North West,E12000002
E00024439,E02000999,E08000001,Bolton,North West,E12000002
E00024440,E02000999,E08000001,Bolton,North West,E12000002
E00024441,E02000999,E08000001,Bolton,North West,E12000002
E00024442,E02001006,E08000001,Bolton,North West,E12000002
E00024443,E02001006,E08000001,Bolton,North West,E12000002
E00024444,E02001009,E08000001,Bolton,North West,E12000002
E00024445,E02001004,E08000001,Bolton,North West,E12000002
E00024446,E02001004,E08000001,Bolton,North West,E12000002
E00024447,E02001001,E08000001,Bolton,North West,E12000002
E00024448,E02001004,E08000001,Bolton,North West,E12000002
E00024449,E02001001,E08000001,Bolton,North West,E12000002
E00024450,E02001006,E08000001,Bolton,North West,E12000002
E00024451,E02001004,E08000001,Bolton,North West,E12000002
E00024452,E02001001,E08000001,Bolton,North West,E12000002
E00024453,E02001006,E08000001,Bolton,North West,E12000002
E00024454,E02001006,E08000001,Bolton,North West,E12000002
E00024455,E02001006,E08000001,Bolton,North West,E12000002
E00024456,E02001001,E08000001,Bolton,North West,E12000002
E00024457,E02001006,E08000001,Bolton,North West,E12000002
E00024458,E02001006,E08000001,Bolton,North West,E12000002
E00024459,E02001006,E08000001,Bolton,North West,E12000002
E00024460,E02001004,E08000001,Bolton,North West,E12000002
E00024461,E02001009,E08000001,Bolton,North West,E12000002
E00024462,E02001006,E08000001,Bolton,North West,E12000002
