msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02005402,0,0,0,2,1,5,22,49
E02005403,0,0,0,0,3,0,3,16
E02005404,0,0,0,0,3,0,6,12
E02005405,3,0,0,0,0,1,12,13
E02005406,0,2,0,2,2,9,20,30
E02005407,0,0,0,0,0,0,0,0
E02005408,0,0,0,0,0,0,0,0
E02005409,1,1,0,0,0,0,5,13
E02005412,0,0,2,1,2,7,17,36
E02005414,0,0,5,7,7,8,31,80
E02005415,0,0,0,4,1,2,15,23
E02005416,0,0,0,0,0,1,0,0
E02005417,0,0,1,2,0,0,2,9
E02005418,0,0,0,0,4,3,6,8
E02005419,0,5,0,0,1,3,3,15
E02005420,0,0,0,2,0,4,8,8
E02005422,0,0,0,0,0,0,0,0
E02005423,0,0,0,1,3,3,13,53
E02005424,3,5,7,5,3,4,11,26
E02005425,0,0,0,0,0,0,0,0
E02005426,1,0,1,1,5,12,32,55
E02005427,0,0,4,10,3,5,13,14
E02005428,0,0,2,16,9,13,27,33
E02005429,0,0,0,0,4,10,16,30
E02005430,0,0,0,0,1,3,3,15
E02005431,0,0,2,7,7,5,24,45
E02005432,0,0,0,9,2,2,15,20
E02005433,0,7,7,1,2,2,9,17
E02005434,0,0,0,4,10,9,13,13
E02005435,0,0,0,0,4,3,7,13
E02005436,0,0,9,14,3,1,16,31
E02005437,2,0,5,5,3,9,21,45
E02005438,0,0,0,0,0,5,6,10
E02005439,3,28,19,4,1,4,29,70
E02005440,3,0,1,0,1,4,8,11
E02005441,0,0,0,0,3,2,3,16
E02005442,0,0,0,2,5,9,4,15
E02005443,0,0,1,1,3,5,12,25
E02005444,0,196,2,10,6,6,24,57
E02005445,10,172,6,7,3,0,0,0
E02005446,2,1759,26,9,5,4,10,22
E02005447,0,29,0,0,1,10,14,57
E02005448,0,0,0,0,0,0,0,0
E02005449,0,1065,31,1,2,0,13,24
E02005450,0,0,0,0,0,6,16,37
E02005451,0,0,0,0,1,1,8,25
E02005452,0,0,0,0,0,4,10,19
E02005453,0,0,3,0,0,0,0,0
E02005455,2,5,7,1,8,8,26,40
E02005456,0,29,18,5,6,6,9,26
E02005457,0,0,0,0,1,1,16,30
E02005458,0,3,2,0,0,2,13,42
E02005459,0,1,1,3,9,6,14,16
E02005460,0,51,52,20,2,0,0,0
E02005461,0,0,5,0,1,0,12,20
E02005462,0,0,1,0,0,3,10,24
E02005463,0,0,0,2,5,0,9,18
E02005464,0,3,3,3,1,4,8,17
E02005465,0,0,0,0,3,4,19,48
E02005466,0,2,0,0,1,1,9,15
E02005467,0,0,0,1,1,3,4,25
E02005468,1,3,0,0,0,0,4,13
E02005469,0,0,0,0,0,0,6,9
E02005470,2,2,0,0,0,2,9,27
E02005471,0,0,0,2,4,1,6,11
E02005472,0,0,1,0,3,3,19,57
E02005473,0,0,0,0,7,11,36,73
E02005474,0,1,2,6,7,5,18,24
E02005475,0,0,0,0,0,0,3,13
E02005476,0,0,0,0,0,2,6,6
E02005477,0,0,2,6,9,5,2,0
E02005478,0,0,0,0,0,0,16,35
E02005479,0,0,0,0,3,10,20,50
E02005480,0,0,0,0,0,0,0,1
E02005481,0,3,0,0,1,3,16,65
E02005482,0,1,2,0,0,0,1,0
E02005483,0,0,0,0,2,4,13,36
E02005484,0,1,1,0,0,0,0,0
E02005485,0,0,0,0,1,3,13,34
E02005486,0,0,0,0,2,0,22,61
E02005487,9,0,0,0,0,3,12,31
E02005488,0,0,0,3,3,0,8,40
E02005489,0,4,0,0,2,0,6,22
E02005490,0,0,0,0,1,4,6,25
E02005491,47,18,0,2,3,0,5,24
E02005492,0,0,0,2,9,9,10,24
E02005493,0,0,2,3,10,14,32,46
E02005494,0,0,3,6,8,2,12,43
E02005495,4,0,2,1,16,9,13,23
E02005496,0,0,0,0,0,0,0,0
E02005497,0,0,3,1,3,1,15,38
E02005498,0,1,3,12,10,8,9,15
E02005499,0,9,7,7,1,1,0,0
E02005500,0,16,2,2,2,3,12,25
E02005501,0,0,0,0,0,0,5,11
E02005502,0,5,10,3,0,6,10,29
E02005612,0,4,5,8,7,1,11,39
E02005613,0,0,0,1,4,2,7,8
E02005614,0,0,3,9,3,4,11,24
E02005615,0,0,0,0,3,0,0,0
E02005616,0,0,0,0,0,0,0,0
E02005617,1,0,0,0,0,0,0,0
E02005619,0,0,4,6,9,1,7,48
E02005620,19,3,3,11,12,3,7,25
E02005621,0,7,0,5,0,1,4,16
E02005622,2,0,0,0,0,0,1,0
E02005623,0,35,3,3,1,5,28,53
E02005624,0,0,0,0,0,0,0,0
E02005625,0,0,0,3,2,9,15,52
E02005626,0,0,0,0,0,0,0,0
E02005627,0,0,0,0,1,0,0,0
E02005628,0,0,2,6,9,4,8,3
E02005629,0,0,0,0,0,0,1,31
E02005630,201,130,4,12,6,4,11,37
E02005631,1,0,0,2,1,0,5,5
E02005632,0,0,1,4,0,8,15,27
E02005633,0,0,0,1,6,8,24,43
E02005634,0,0,2,0,0,4,9,27
E02005635,0,0,0,0,3,6,15,30
E02005636,0,3,4,0,7,5,18,35
E02005637,0,0,0,3,1,5,11,30
E02005638,0,7,0,3,0,2,5,12
E02005639,2,0,0,1,3,4,11,24
E02005640,0,1,0,3,3,8,24,41
E02005641,0,0,0,1,0,0,0,0
E02005642,0,0,2,12,2,5,17,46
E02005643,0,0,0,0,0,0,0,0
E02005644,0,1,11,8,4,2,5,1
E02005645,3,0,10,10,7,20,46,107
E02005646,0,0,0,0,0,0,0,0
E02005647,0,0,3,1,3,7,12,24
E02005648,0,0,0,0,5,2,7,7
E02005650,0,212,18,9,0,1,10,16
E02005651,0,0,0,3,1,2,6,8
E02005652,0,0,0,7,6,7,9,11
E02005653,0,0,0,1,0,0,3,13
E02005654,0,0,0,0,0,0,0,0
E02005655,0,5,3,3,7,3,0,0
E02005656,0,0,0,0,0,0,0,0
E02005657,0,1,4,5,0,1,4,9
E02005658,0,0,0,4,3,2,0,1
E02005659,0,0,0,3,3,0,1,23
E02005660,4,0,3,4,6,4,0,0
E02005661,0,2,0,4,8,3,4,10
E02005662,0,0,0,3,7,5,5,0
E02005663,0,0,0,0,0,0,0,0
E02005664,6,2,4,7,17,16,39,55
E02005665,0,0,0,0,0,0,1,1
E02005666,0,0,0,0,0,0,0,0
E02005667,0,0,0,0,0,0,7,18
E02005668,0,0,0,0,1,4,8,43
E02005669,0,0,2,0,2,1,7,20
E02005670,0,0,0,1,0,2,1,0
E02005671,0,7,0,5,7,1,0,0
E02005672,0,10,0,0,0,0,0,0
E02005673,0,0,1,2,0,14,27,36
E02005674,9,281,28,19,21,18,45,95
E02005675,0,0,0,0,0,0,0,0
E02005676,0,6,0,0,0,0,0,0
E02005677,0,554,4,1,1,0,0,0
E02005679,0,0,0,0,0,0,0,0
E02005680,0,0,0,0,0,4,16,54
E02005681,0,0,0,0,1,5,2,7
E02005682,0,1,0,1,1,0,0,0
E02005683,0,0,2,4,1,1,15,30
E02005684,0,0,2,2,0,0,14,26
E02005685,2,0,0,0,0,0,2,12
E02005686,2,0,0,3,0,2,15,28
E02005687,0,0,0,0,2,0,4,11
E02005688,0,0,0,0,0,0,0,0
E02005689,0,0,0,2,0,5,8,43
E02005690,16,0,1,0,2,0,0,0
E02005691,0,51,5,0,0,0,0,0
E02005692,0,0,0,0,0,0,0,0
E02005693,0,0,1,2,2,0,0,0
E02005694,0,0,0,2,0,0,0,0
E02005695,0,0,2,5,10,11,8,16
E02005696,0,0,0,1,1,3,5,20
E02005697,1,4,6,6,5,12,36,80
E02005698,0,0,0,0,1,2,11,26
E02005699,0,0,0,0,0,0,0,0
E02005700,0,0,0,0,0,0,0,6
E02005701,0,3,0,3,20,9,6,18
E02005819,0,0,0,0,0,0,0,0
E02005820,0,0,0,0,0,0,0,0
E02005821,0,0,1,0,1,3,1,0
E02005822,0,1,8,6,18,14,13,42
E02005823,0,2,9,3,8,5,48,85
E02005824,0,0,2,7,4,3,0,0
E02005825,0,1,0,2,2,4,5,12
E02005826,0,0,0,4,9,1,5,9
E02005827,0,0,0,0,0,1,1,6
E02005828,1,2,1,7,5,3,0,0
E02005829,0,0,0,0,2,13,13,29
E02005830,0,0,0,0,0,0,0,0
E02005831,0,0,3,6,22,7,8,22
E02005832,0,2,1,2,11,8,23,42
E02005833,0,0,0,0,2,0,2,1
E02005834,0,0,0,0,3,4,17,16
E02005835,0,0,0,1,0,3,13,30
E02005836,0,0,1,0,0,1,4,18
E02005837,0,1,0,0,0,3,10,12
E02005838,0,0,0,1,0,0,0,0
E02005839,0,0,0,0,0,3,7,17
E02005840,0,0,0,1,1,1,4,11
E02005842,0,1,0,0,2,5,31,59
E02005843,0,0,0,0,0,2,13,35
E02005844,0,0,0,0,0,1,8,17
E02005846,0,0,4,4,3,7,18,34
E02005847,4,1,4,0,3,4,7,15
