Station,Location,Easting,Northing
David Lane Tram ,Basford,455006.3333333333,343374.6666666667
Dean Forestway,Parkend,362660.6666666667,205158.33333333334
Deansgate-Castlefield (Manchester Metrolink),Manchester City Centre,383444.5,397581.5
Debden Underground,Debden,544282.0,196119.0
Deptford Bridge,Deptford Bridge,537436.5,176890.5
Dereham (Mid Norfolkway),Dereham,599352.0,313090.0
Derker (Manchester Metrolink),Derker,393355.0,405931.0
Devils Bridge (Vale of Rheidolway),Devils Bridge,273879.0,276930.0
Devons Road,Devons Road,537633.5,182280.0
Didsbury Village (Manchester Metrolink),Didsbury,384887.6666666667,391150.6666666667
Dinas (Welsh Highland Rly-Caernarfon),Llanwnda,247683.0,358707.0
Dolgoch Falls (Talyllynway),Dol-goch,265115.0,304579.0
Dollis Hill,Dudden Hill,522191.5,185145.75
Donetsk Way,Owlthorpe,442019.3333333333,382943.0
Doniford Beach (West Somersetway),Doniford,308436.5,142943.0
Droylsden (Manchester Metrolink),Droylsden,390487.3333333333,398094.3333333333
Drummuir (Keith and Dufftownway),Drummuir,337740.0,844133.0
Dudlay St Guns Village (Midland Metro ),Guns Village,399514.0,291917.5
Duffield (Ecclesbourne Valleyway),Duffield,434564.0,343545.0
Dufftown (Keith and Dufftownway),Dufftown,332258.0,841404.0
Dundonald Road Tram ,Wimbledon,524736.0,170243.5
Dungeness (RHDR),Dungeness,608895.0,116980.5
Dunster (West Somersetway),Dunster,299575.0,144750.0
Dymchurch (RHDR),Dymchurch,609818.5,129349.0
Ealing Broadway Underground,Ealing Broadway,517958.0,180933.0
Ealing Common,Ealing Common,518889.0,180422.0
Earl's Court,Earls Court,525482.75,178513.75
East Acton,East Acton,521706.5,181197.5
East Boldon (Tyne and Wear Metro),East Boldon,437190.0,561492.0
East Croydon Tram ,Croydon,532867.5,165706.5
East Didsbury (Manchester Metrolink),East Didsbury,385650.75,390570.0
East Finchley,East Finchley,527242.25,189166.75
East Ham,East Ham,542355.75,184231.0
East India,East India,538733.0,180838.1666666667
East Putney,East Putney,524395.0,174874.0
Eastcote,Eastcote,511156.25,187620.25
Eccles (Manchester Metrolink),Eccles,377895.0,398535.3333333333
Edgbaston Village (Midland Metro ),Birmingham,405290.0,286010.0
Edge Lane (Manchester Metrolink),Droylsden,389122.0,398251.0
Edgware,Edgware,519509.25,191938.25
Edgware Road (Bakerloo line),Edgware Road,527105.3333333334,181721.66666666666
Edgware Road (Circle line),Edgware Road,527235.5,181707.25
Edinburgh Airport (Edinburgh Trams),Edinburgh Airport,315132.0,673567.0
Edinburgh Park (Edinburgh Trams),Edinburgh Park,318435.0,671260.0
Edinburgh Park Central (Edinburgh Trams),Edinburgh Park,317953.0,671697.0
Edinburgh way (Edinburgh Trams),Gogar,317537.0,672724.0
Elephant & Castle,Elephant & Castle,531950.75,179029.75
Elm Park,Elm Park,552560.0,185730.5
Elmers End,Elmers End,535781.0,168411.0
Elverson Road,Elverson Road,537866.0,176304.0
Embankment,Embankment,530400.75,180358.0
Embsay (Embsay & Bolton Abbeyway),Embsay,400643.0,453282.0
Epping Underground,Epping,546188.5,201555.0
Eridge (Spa Valleyway),Eridge Green,554277.5,134505.0
Eskdale Drive,Chilwell,450987.0,336147.0
Eskdale Drive Tram ,Chilwell,450987.0,336147.0
Eskdale Green (Ravenglass and Eskdaleway),Eskdale,314540.0,499845.0
Etihad Campus (Manchester Metrolink),Sportcity,386720.75,398732.75
Euston Square,Euston Square,529426.0,182388.25
Euston Underground,Euston,529555.0,182660.0
Exchange  (Manchester Metrolink),Salford Quays,381348.6666666667,396775.6666666667
Exchange Square (Manchester Metrolink),Manchester City Centre,383995.6666666667,398667.3333333333
Eythorne (East Kentway),Eythorne,628141.5,149523.5
Failsworth (Manchester Metrolink),Failsworth,389276.0,401543.0
Fairbourne (Fairbourneway),Fairbourne,261570.0,312850.0
Fairlop,Fairlop,544922.0,190598.0
Farringdon,Farringdon,531577.75,181870.0
Fawdon (Tyne and Wear Metro),Fawdon,422825.0,568855.0
Fellgate (Tyne and Wear Metro),Fellgate,433030.0,562645.0
Felling (Tyne and Wear Metro),Felling,427555.0,562120.0
Ferry Meadows (Nene Valleyway),Ferry Meadows,515187.0,297046.0
Fieldway Tram ,Forestdale,537673.0,163211.5
Finchley Central,Finchley Central,525276.0,190663.0
Finchley Road,Finchley Road,526311.0,184676.0
Finghall (Wensleydaleway),Finghall,418473.0,490045.0
Finsbury Park,Finsbury Park,531317.625,186749.375
Firswood (Manchester Metrolink),Firswood,381644.5,394994.5
Fisherground (Ravenglass and Eskdaleway),Eskdale,315072.0,500207.0
Fisherman's Walk (Blackpool Tramway),Fleetwood,333280.3333333333,447540.0
Fitz Sq/Ponds Forge to Mdwhall-Halfwy,Sheffield Centre,435757.75,387502.5
Fitzalan Sq - Ponds Forge,Sheffield Centre,435758.0,387503.0
Five Ways (Midland Metro ),Birmingham,405850.0,286314.0
Fleetwood Ferry (Blackpool Tramway),Fleetwood,333909.5,448412.5
Foot of the Walk (Edinburgh Trams),Leith,327002.0,675928.0
Four Lane Ends (Tyne and Wear Metro),Four Lane Ends,427048.0,568477.0
Freehold (Manchester Metrolink),Chadderton,390948.6666666667,404565.6666666667
Fulham Broadway,Fulham Broadway,525411.5,177225.0
Gallions Reach,Gallions Reach,543872.5,180914.0
Gants Hill,Gants Hill,543275.9,188442.85
Gatwick North Terminal Shuttle,Gatwick Airport,527595.0,141774.0
Gatwick South Terminal Shuttle,Gatwick Airport,528658.5,141368.0
George Street Tram ,Croydon,532430.0,165595.0
Glanrafon (Vale of Rheidolway),Glanyrafon,261511.0,280458.0
Gleadless Townend,Gleadless Townend,438314.6666666667,383387.0
Glengonnar (Leadhills and Wanlockheadway),Wanlockhead,288046.0,613444.0
Gloucester Road,Gloucester Road,526258.0,178837.5
