msoa,staff/owner,staff/owner's relative,temporary/visiting
E02003912,12,2,0
E02003913,1,0,0
E02003914,0,0,0
E02003915,0,0,3
E02003916,27,3,4
E02003917,0,0,0
E02003918,0,0,0
E02003919,0,0,0
E02003920,0,0,0
E02003921,0,0,0
E02003922,0,0,0
E02003923,0,0,3
E02003924,0,0,0
E02003925,0,1,0
E02003926,0,0,0
E02003927,10,1,7
E02003928,2,0,0
E02003929,3,0,6
E02003930,17,5,0
E02003931,13,2,0
E02003932,1,0,0
E02003933,2,2,0
E02003934,0,0,0
E02003935,0,0,0
E02003936,0,0,0
E02003937,1,5,1
E02003938,22,9,2
E02003939,0,0,0
E02003940,1,2,0
E02003941,5,0,1
E02003942,0,0,3
E02003943,26,5,1
E02003944,4,1,2
E02003945,14,3,0
E02003946,0,0,1
E02003947,4,0,0
E02003948,0,0,1
E02003949,12,0,0
E02003950,2,1,0
E02003951,8,1,1
E02003952,5,1,0
E02003953,5,2,0
E02003954,28,12,10
E02003955,20,7,19
E02003956,0,0,0
E02003957,2,0,2
E02003958,0,0,0
E02003959,0,0,0
E02003960,0,0,0
E02003961,0,0,0
E02003962,0,0,3
E02003963,2,0,6
E02003964,27,6,2
E02004129,15,0,0
E02004130,0,0,0
E02004131,0,0,1
E02004132,0,0,0
E02004133,0,0,0
E02004135,2,0,0
E02004136,0,0,1
E02004137,0,0,0
E02004138,5,2,0
E02004139,0,0,0
E02004140,5,0,2
E02004141,1,0,3
E02004142,5,0,5
E02004143,2,4,0
E02004144,4,0,0
E02004145,0,0,0
E02004146,0,0,0
E02004147,4,0,0
E02004148,8,1,0
E02004149,3,6,34
E02004150,0,0,0
E02004151,0,0,17
E02004152,3,12,34
E02004153,0,0,1
E02004154,0,0,5
E02004155,0,0,0
E02004156,4,2,65
E02004157,6,0,2
E02004158,0,0,2
E02004159,0,0,6
E02004160,1,0,0
E02004161,0,0,1
E02004162,0,0,0
E02004163,0,0,0
E02004164,0,0,0
E02004165,0,0,0
E02004166,0,0,0
E02004167,5,5,4
E02004168,0,0,0
E02004169,0,0,1
E02004170,0,0,2
E02004171,0,0,0
E02004172,0,0,0
E02004173,0,0,0
E02004174,0,0,0
E02004175,11,2,0
E02004176,79,18,7
E02004177,10,1,1
E02004178,7,1,2
E02004179,2,0,1
E02004180,8,1,0
E02004181,8,0,0
E02004182,2,0,0
E02004183,1,0,0
E02004184,0,0,0
E02004185,0,0,0
E02004186,1,0,0
E02004187,5,0,1
E02004188,0,0,0
E02004189,12,10,0
E02004190,7,0,4
E02004191,0,0,0
E02004192,2,0,0
E02004193,0,0,0
E02004194,2,0,2
E02004195,2,0,2
E02004196,0,0,0
E02004197,0,0,0
E02004198,0,0,1
E02004199,0,0,0
E02004200,0,0,1
E02004201,3,0,0
E02004202,4,0,0
