msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02000203,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8
E02000204,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000206,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000207,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000208,0,5,0,1,0,1,0,0,0,0,0,0,0,0,2,3,12
E02000209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
E02000213,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000215,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8
E02000216,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
E02000217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000219,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000221,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9
E02000222,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000224,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
E02000225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000226,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
E02000227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000228,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02000229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000230,3,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
E02000231,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
E02000232,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4
E02000233,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02000234,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02000235,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000237,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000238,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02000241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000243,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02000244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
E02000246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
E02000249,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
