msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02002813,5649,84,64,125,108,113,88,93,119,82,98,82,104,87,98,66,55,79,62,83,75,59,81,87,74,88,90,92,106,112,89,85,75,126,124,103,117,107,103,65,84,74,107,87,73,79,65,74,63,55,70,82,69,66,60,40,45,60,45,35,55,35,45,20,38,35,25,34,30,25,30,30,15,30,25,24,15,10,29,15,10,19,15,15,15,15,16,10,23,12,10,43
E02002814,3706,26,30,30,20,35,25,30,40,40,40,30,41,35,35,35,30,35,39,35,20,30,15,30,20,30,30,35,30,25,40,25,40,40,20,40,35,40,45,55,50,45,35,60,45,45,30,45,44,40,50,40,50,55,50,60,45,50,55,60,65,55,55,55,50,61,70,40,66,53,55,67,44,53,60,54,35,44,54,30,43,38,25,34,41,24,31,34,25,19,20,76
E02002815,4353,62,82,80,76,75,58,84,79,62,82,87,94,69,93,75,78,45,72,67,55,42,81,67,50,71,88,72,81,64,55,65,87,74,51,67,60,65,77,65,68,78,66,50,64,57,51,55,53,68,81,53,50,71,45,40,35,35,35,40,35,25,30,25,20,25,25,24,25,19,15,5,24,20,25,15,10,15,5,10,15,10,5,15,0,9,11,5,5,0,0,29
E02002816,4811,44,50,65,50,50,65,70,67,74,61,74,67,50,76,65,79,50,75,71,55,30,50,35,50,57,45,40,30,55,40,50,60,54,45,55,65,60,67,70,59,65,81,71,69,62,77,87,86,74,60,84,89,85,76,70,67,65,60,55,60,60,45,65,45,45,50,35,49,48,44,46,54,40,40,40,35,25,30,25,15,29,20,25,24,14,19,20,15,31,11,49
E02002817,3292,30,40,55,35,35,30,25,35,30,40,35,46,40,35,25,35,40,35,46,25,20,25,30,35,34,25,25,40,30,40,45,45,40,41,45,40,50,35,50,30,40,45,35,55,30,35,50,44,50,40,40,35,45,35,50,51,35,35,50,45,38,40,30,35,35,45,42,34,44,34,36,40,44,45,45,35,26,30,44,31,19,24,25,20,28,24,20,22,22,10,38
E02002818,4257,39,60,50,50,50,63,61,69,59,55,73,97,65,113,71,60,84,58,50,50,52,44,72,50,57,84,54,60,55,50,50,65,59,56,66,66,65,83,70,55,64,59,72,59,52,51,59,44,59,81,49,45,50,45,40,61,40,40,35,40,30,35,25,40,34,30,23,30,24,30,31,30,15,20,30,20,20,20,20,27,15,25,15,10,24,5,19,5,9,9,52
E02002819,3669,41,40,35,35,40,35,51,50,39,50,45,35,30,46,35,40,25,35,30,20,43,40,57,35,49,55,54,60,60,70,80,60,55,61,55,81,60,55,60,50,55,40,40,30,35,40,34,49,40,55,40,40,45,60,54,45,50,69,50,55,53,46,43,45,35,35,28,34,33,29,15,34,39,35,39,25,37,25,31,15,24,24,20,15,0,16,15,0,0,15,41
E02002820,5072,66,70,114,81,60,87,65,66,63,60,70,56,50,61,60,60,55,49,56,50,56,50,67,64,49,45,87,75,79,70,80,90,84,72,76,86,75,81,132,65,89,75,55,49,56,45,64,63,70,55,68,75,65,60,69,66,75,65,66,65,45,51,55,40,50,35,43,40,43,40,26,35,35,45,50,29,25,40,51,34,20,25,20,20,20,22,10,6,6,5,29
E02002821,6336,70,93,80,103,85,78,109,140,111,134,101,126,113,113,85,98,114,111,71,65,57,55,58,85,97,85,78,85,80,70,106,111,99,109,118,81,95,91,140,83,140,118,80,90,99,75,80,59,84,75,74,80,80,55,65,76,70,79,60,60,45,77,45,68,34,45,35,50,30,39,36,25,40,25,25,25,20,30,9,10,28,34,31,31,19,16,4,11,11,10,46
E02002822,3602,22,54,60,25,45,45,40,35,48,51,54,40,40,35,45,25,55,35,30,20,30,25,48,35,53,35,35,40,50,45,60,55,55,41,40,55,45,56,50,55,59,55,45,50,41,39,45,44,45,61,39,40,51,45,65,40,45,45,65,40,53,30,39,40,35,40,33,25,25,30,31,35,34,40,35,20,32,29,31,10,15,28,30,38,28,17,19,26,24,15,44
